stage,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,hatching.gland,ionocyte,mesenchyme,muscle,neural,paraxial.mesoderm,presomitic.mesoderm,spinal.cord,vascular.smooth.muscle
  3-4,405.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,192.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.59,0,0,7.38,0,0,6,0,0,0,22.88,4.91,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,31.85,3.57,0,0,0
 14-21,0,1.38,0,0,0,0,0,0,0,0,1.1,0,0.88,0,0
 24-34,0,0,0,0,0,1.29,0,0,0,0,1.15,0,0,0,0
 36-46,0,0,0,1.05,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0.87,0.46,0,0,0,0.45,0,2.09,0,0,1.47,0
 60-70,0,0,0,0,0,0,0,1.79,0,0,5.07,0,0,0,0
 72-82,0,0,0.52,0,0,0.68,0,0,0,0,13.06,0,0,0,0
 96-106,0,0,9.04,1.68,0,0,0,0,0,0,1.98,0,0,0,0
108-118,0,0,0,0.83,0,0,0,0,0,0,0,0,0,0,0.77
120,0,0,0,9.14,0,0,0,0,0,6.61,0,0,0,0,0
