stage,eye,mesenchyme,neural,periderm,somites
 14-21,0,0,0,0,0.81
 24-34,0,0,0.61,0,0
 48-58,0,0,0,0.72,0
108-118,0,1.41,2.83,0.55,0
120,33.1,0,0,0,0
