stage,axial,blastomeres,endoderm,epidermis,eye,glial,gut,mesenchyme,neural,periderm
  3-4,0,35.24,0,0,0,0,0,0,0,0
  7-9,5.33,0,0,0,0,0,0,0,0,0
 10-12,0,5.27,0,0,0,0,0,0,0,0
 14-21,0,0,0.94,0,0,0,0,1.34,0,0
 24-34,0,0,0,0,0,0,0,0,1.55,0
 48-58,0,0,0,0,0,1.38,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,5.34,0
 84-94,0,0,0,0,0,0,0,1.65,8.74,0
 96-106,0,0,0,0,0,0,0,1.27,4.83,0
108-118,0,0,0,4.51,1.92,0,1.49,0,8.94,0
120,0,0,0,6.25,0,0,0,0,30.71,2.73
