stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  5-6,31.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.63,0,0,0,0,0,0,0,0
  7-9,0,3.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,5.25,0,0,4.64,0,0,0,0,0,0,0,0,0
 10-12,16.2,56.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.44,0,0,0,15.96,3.3,0,67.27,0,0,0,0,0,0
 14-21,0,0,177.82,0,0.84,0,0,0,0,2.18,0,1.01,0,0,0,0,4.72,0,0,0,2.01,0,0,0,0,93.72,1.05,2.78,0,4.31,1.24,0,0,0
 24-34,0,0,131.06,0,1.15,0,1.99,0,0,0,0,0,0,0,0,0,3.36,1.94,0,1.54,16.38,0,0,0,0,158.32,0,0,2,0.61,0,0,0,0
 36-46,0,0,68.21,0,1.02,0,2.62,0,0,0,0,10.34,0,1.68,0,0,5.92,0.78,0,9.9,22.07,0,0,0,0,142.38,0,0.59,0,0,1.46,0,0,0
 48-58,0,0,99.95,0,12.05,5.59,1.36,0,2.6,0,0,0,0,2.65,0.58,1.2,6.36,2.21,0,56.36,22.91,0,0,0,0,123.91,0,0,0,0,18.64,0,0,1.32
 60-70,0,0,178.42,0,16.64,27.82,1.25,0,0,0,0,0,0,3.35,0,0,7.6,0,0,26.8,17.65,0,0,0.59,0,152.43,0,0,0,0,21.3,2.88,1.73,0
 72-82,0,0,293.93,0,28.1,14.97,2.29,0,2.7,0.53,0,12.58,0,3.09,0,0,14.37,5.31,0.7,43.86,63.94,0,0,0,0,248.48,0,0,0,0,11.44,0,0,0
 84-94,0,0,559.27,3.36,20.84,13.41,11.51,0,2.34,3.39,0,18.19,0.65,8.04,0,0,29.58,10.38,0,14.54,60.41,0,0,0,0,657.76,0,0,0.61,0,6.5,5.76,10.09,0
 96-106,0,0,726.13,0,15.43,8.35,37.54,0,11.82,17.85,0.67,26.22,0,2.22,12.35,0,25.91,27.47,1.52,3.94,64.94,0.87,3.48,0,0,835.4,0,0,0.8,0,7.91,0.7,0,2.97
108-118,0,0,630.12,5.3,3.18,17.51,51.3,1.23,0.54,26.65,0,18.01,0,2.29,0,0,9.26,18.07,0.63,5.18,56.95,0,0,2.7,0,702.78,0,2.13,0,0,9.19,7.33,0,0
120,0,0,384.81,0,8.86,16.64,38.2,0,0,5.53,0,4.46,0,2.05,0,0,26.74,11.96,0,11.63,35.33,0,0,0,0,544.55,0,0,0,0,18.9,6.26,0,0
