stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,857.86,19962.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,545.61,0,0,0,0,0,0,0,0
  5-6,325.3,4850.02,0,0,0,0,0,0,0,0,12.54,0,0,0,0,0,0,0,0,0,93.08,0,0,0,21.56,0,54.58,0,0,0,0,0,0,0,0
  7-9,18.78,67.79,57.42,0,0,115.18,0,0,0,0,3.57,0,0,0,0,0,0,0,0,0,1279.87,52.8,0,0,359.3,0,0,27.05,0,0,0,0,0,0,0
 10-12,0,87.74,108.86,0,16.28,220.85,0,0,0,0,9.63,0,0,0,0,0,0,0,0,0,2410,60.67,0,0,478.53,0,0,8.7,9.31,86.02,0,4.93,0,0,0
 14-21,0,0,4.72,37.54,22.09,40.82,0,0,12.4,1.34,0,1.07,1.35,0,0,0,0,41.88,0,30.28,467.68,3.42,0,5.81,9.56,0,5.8,2.28,19.7,4.17,3.47,9.62,290.11,0,5.62
 24-34,0,0,1.4,11.39,127.23,33.64,0,0,42.19,1.32,0,0,28.17,0.6,0,0.77,0,60.48,0,29.66,888.23,0,4.66,8.49,0,0,12.49,0,0,0,1.01,2.62,456.15,0,5.49
 36-46,0,0,0,0.6,17.12,46.03,0,1.23,42.15,0.66,0,0,40.06,0,1.37,0.79,9.67,64.42,0,8.83,566.67,0,0,4.21,0,0,10.49,0,0,0,0,0,187.67,0,0.77
 48-58,0,0,0,2.04,8.94,50.35,1.07,1.18,47.92,0,0,0,47.56,0,2.71,0,0,48.35,1.59,4.54,167.37,0,0,1.45,0,0,2.35,0,0,0,0,0,77.41,0,0.61
 60-70,0,0,0,0,2.92,32.31,0,0,32.48,0,0,0,47.02,0,1.75,0,0,37.41,7.67,2.76,67.16,0,0,1.61,0,0,0,0,0,0,0,0,29.09,0.59,1.43
 72-82,0,0,0,0.68,0,17.48,0,1.29,10.74,0.66,0,0,46.16,0,4.94,0,0,23.47,0,3.83,52.04,0,0,0,0,0,0.66,0,0,0,0,0,0,0,10.08
 84-94,0,0,0,1.83,11.8,11.27,0,0.78,11.85,0,0,0,86.43,0.68,7.28,0,0,15.6,1.78,1.92,23.06,1.16,0,1.37,0,0.79,1.1,0,0,0,0,0,4.93,0.57,0
 96-106,0,0,0,1.26,6.75,13.03,0,1.43,10.32,0,0,0,72.5,0,6.76,1.7,0,12.63,0,0,49.67,0,1.05,3.41,0,0,0,0,0,0,0,0,4.09,4.93,3.09
108-118,0,0,0,2.48,22.21,13.62,0,4.73,13.92,0.54,0,0,59.42,0.55,33.02,0.67,0,12.18,0,0,47.28,0,0,0,0,0,6.16,0,0,0,0,0,0,0,1.46
120,0,0,0,2.05,23.65,10.09,0,0,11.79,1.25,0,0,70.49,0,35.66,0,0,10.06,0,1.83,93.75,0,1.4,2.59,0,0,0,0,0,2.61,0,0,9.04,0,3.26
