stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,0,173.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.44,149.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,5.41,0,0,0,0,0,0,0,0,0,0,0,42.03,0,0,27.7,4.34,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.44,0,0,5.77,0,5.95,7.84,0,0,0,0,0
 14-21,0,0,0,1.66,1.86,0.88,0,3.35,0,0,0,0,0,0,0.94,0,1.14,21.48,0,0,0,1.32,0,0,0,0.94,3,0,0
 24-34,0,0,0,0.71,0,4.82,0,0,0,0,0,1.39,0,0,5.88,0,0,36.47,0.72,0,0,2.66,0,0.76,0,1.51,5.51,2.62,1.32
 36-46,0,0,0,2.96,0,5.37,0,9.94,0,0,3.31,0,0,0,2.61,0,0.72,46.55,0,9.3,0,2.46,0,0,6.95,0,2.01,0.68,0
 48-58,0,0,0,0,0,9.26,0,0.96,0,0.5,0,0,0,0,3.14,0,4.26,53.98,0,0,0,0,0,0,0,0,3.2,0,0
 60-70,0,0,0,3.2,0,25.38,0,3.74,0.63,0,1.42,0,1,0,5.14,1.14,0.77,42.74,0,0,0,0,0,0,0,0,3.91,0,0
 72-82,0,0,0,0.72,0,13.76,0,0,0,0,0,0,0,0.74,12.3,0,0.56,20.85,1.49,0,0,0,0,0,0,0,1.57,0,0
 84-94,0,0,1.01,3.07,0,6.31,0,1.93,0,0,0,1.38,0,0,3.12,0,0.97,17.5,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0.9,0,0,4.83,0,0,1.81,0,0,0.86,0.75,0,3.64,0,1.03,13.39,0.89,0.78,0,6.8,0,0,0,0,0,0,0
108-118,0,0,0,0.49,0,10.24,0,5,0.51,0,0,0,0,0,3.03,0,0,16.86,0,0,0,0,0,0,0,0,0,0.54,0
120,0,0,0,2.98,0,3.6,1.06,15.47,0,0,0,0,0,0,1.71,0,0,16.53,0,11.98,0,0,0,0,0,0,0,0,0
