stage,endocrine.pancreas,endoderm,epidermis,eye,glial,hatching.gland,heart,ionocyte,lateral.line,mesenchyme,neural,notochord,olfactory,otic,paraxial.mesoderm,pgc,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature
  7-9,0,15.91,0,0,0,0,0,0,0,0,34.42,0,0,0,16.67,0,0,0,0,0,0
 10-12,0,0,0,3.32,0,0,0,0,0,0,95.77,4.18,0,0,16.76,12.01,3.14,0,3.28,0,0
 14-21,0,0,0,0,57.61,2.04,0,0,0,5.41,43.39,0,0,5.84,0.87,0,35.16,0.81,147.08,0,0
 24-34,0,0,0,0.69,65.81,0,0,0,0,2.33,45.23,0.7,4.62,4.18,0,0,17.61,5,86.39,0,0
 36-46,0,0,0,1.24,20.12,0,0.93,0,0,0.67,15.76,0,7.85,0,0,0,10.97,0,48.58,0,3.72
 48-58,0,0,0,7.84,17.81,0,0,0,0,0.59,4.63,0,6.54,1.22,0,0,15.58,0,42.31,0,0
 60-70,0,0,0.79,0,15.89,0,0,0,0.77,0,7.05,0,2.94,0,0,0,0.82,0,28.37,0,0
 72-82,0,0,0,1.07,25.29,0,0,0,0,0.76,5.47,0,13.04,2.53,0,0,0,0,2.72,0,0.89
 84-94,0,1.01,0,2.32,6.19,0,0,0,0.65,0,14.01,0,8.03,3.75,0,0,4.42,0,6.17,0,0
 96-106,0,0,0,6.41,7.32,0,0,0,3.27,0,0,0,15.49,4.3,0,0,2.09,0,5.72,0,0
108-118,0.85,1.06,0,0,12.63,0,0,0.93,1.92,0,11.06,0,8.26,5.94,0,0,4.28,0,6.73,0,0
120,0,0,5.98,6.74,14.9,0,0,0,1.15,0,7.59,0,0,17.15,0,0,5.04,0,1.34,1.52,0
