stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.26,0,0,0,0,0,0
  5-6,6.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.93,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,8.31,0,0,8.27,0,0,0,0,0,0,0,0,0,0,13.75,0,0,0,9.12,0,0,0,0,0,0,0
 10-12,0,10.24,0,0,0,0,0,0,0,0,0,0,0,0,0,22.01,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.41,0,0.87,0,0,0,0,0,0,0,0,0,0,2.15,5.55,0,0,0,0,12.86,0,0,0,0,0
 24-34,0,0,2.79,0,1.29,0,0,0,0,0,0,0.74,1.71,0,1.49,34.08,0.69,1.05,0,0,0.74,10.39,0,0,0,0,0
 36-46,0,0,1.37,0,4.44,0,0,3.53,0,0,0,0,3.2,1.35,0,53.97,0,0,0,0,1.37,33.08,0,0,0,0,0
 48-58,0,0,0.45,0,48.73,0,0,6.57,0,0,0,0,6.81,0,0,168.63,0,0,0,0,2.22,13.46,0,0,0,0.78,0
 60-70,0,0,3.56,0,95.44,0,0,11.82,0,0,0.62,0,6.02,0,0,111.18,0,0,0,0,0.57,30.83,0,0,2.56,0,0
 72-82,0,0,9.11,0,330.34,0,0,3.09,1.98,0,0,0,6.33,0,0.49,143.62,0,0,0,0,0.71,41.73,0,0,3.95,0,0
 84-94,0,0,7.77,1.3,283.23,0,0,5.1,0,0,0,0,4.41,0,0,81.29,0,6.35,3.41,0,4.72,19.38,0,0.84,0,0,0
 96-106,0,0,3.33,0,357.53,1.15,0,14.34,1.08,0,1.05,0,5.57,0,0,118.09,0,0,1.09,0,0.76,10.33,0,0,0,0,3.5
108-118,0,0,10.92,0,417.17,0.99,2.66,8.98,3.11,3.6,0.84,0,4.36,0,0,166.39,0,0,0,0,0,6.53,3.42,0,0,0,0
120,0,0,7.93,0,256.13,0,0,27.1,2.4,0,0,0,0,0,3,185.82,0,0,2.11,0,0,0,0,0,0,0,8.94
