stage,axial,blastomeres,endoderm,epidermis,eye,glial,gut,immune,mesenchyme,muscle,neural,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,visceral_smooth_muscle
  3-4,0,27.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.5,30.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,8.64,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,4.77,0,0,0,0,0,0,0
 14-21,0,0,1.1,2.09,0,0,1.11,0,1.19,2.7,12.3,3.35,0,0,2.86,0,0,0
 24-34,0,0,0,1.3,0,0,0,0,5.21,0,23.37,0,1.01,1.38,7.82,0,0,0
 36-46,0,0,0,0.75,1.63,1.11,0,0,3.2,0.97,73.99,0,0,0,3.82,0,0,0
 48-58,0,0,0,0,6.91,2.06,0,0,10.75,0,69.14,0,0,0,9.82,0,1.22,0
 60-70,0,0,0,0.57,0.99,3.09,0,0,4.98,0,14.15,0,0,0,0,0.84,1.29,0
 72-82,0,0,0,2.11,13.14,0,0,0,0,0,2.47,0,0,0,0,0,0,0
 84-94,0,0,0,0,2.19,8.92,0,0,2.62,0,2.98,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0.9,0,0,23.72,0,0,0,0,0,0,0.91
108-118,0,0,0,0.46,3.25,0,0.5,0,2.21,0,10,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,2.09,0,2.27,0,0,0,0,0,0,0
