stage,endocrine_pancreas,epidermis,eye,fin_epithelia,glial,ionocyte,mesenchyme,neural,olfactory,periderm
 36-46,0,0,0,0,0,0,0,0,19.4,0
 48-58,0,0,0,0.53,0,0,0,0,7.2,0
 60-70,0,0,0,0,0,0,0,0,24.81,0
 72-82,0,0,0,0,0,0,0,0.84,154.54,0
 84-94,0,0,0,0,0,0,0,0,46.36,0
 96-106,0.99,0,8.95,0,0.93,5.82,1.81,0,302.75,0
108-118,0,3.07,0,0,0,0,0,1.86,151.87,1.6
120,0,0,0,0,0,0,0,16.31,220.19,0
