stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,40.3,0,0,0,0,0,0,0,0,0,0,7.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,11.04,0,0,0,0,0,7.43,0,0,0,0,0,0,0,0,0,0,0,4.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,23.58,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,4.8,0,12.53,0.82,0,2.9,4.6,8.71,0,0,0,0,1.9,1.25,0,0.89,0,0,0,6,0,0
 24-34,0,0,109.69,0,0,0.77,0,4.04,0.97,0,1.19,0,0,0,0.59,0,0,9.83,0,35.74,1.77,0,20.74,16.81,8.67,1.54,0,0,7.06,0,0,0,1.52,7.89,0,0,14.86,0,0
 36-46,0,0,99.48,0,0,0,0,7.92,2.42,2.66,0,0,0.9,0,0,0,0.61,2.27,0,70.28,0,0,29.11,2.7,14.02,0.56,1.62,0,19.23,0.81,0,0,0,2.41,0,0,4.24,0,0.7
 48-58,0,0,60.38,0,0,2.73,0,5.38,2.68,0,0,0.95,0.44,2.24,0,0,0.5,0,0,59.96,1.34,5.75,20.85,13.59,9.73,0.85,4.71,0,8.86,0,0,0,0,1.72,0,0,12.65,0,7.68
 60-70,0,0,52.82,0,0,0.89,0,9.06,0,3.02,0,0,0,0.65,0,0,3.85,0,10.85,114.02,0.73,0.93,12.26,11.15,6.26,0,3.18,0,7.53,0,0,0,0,1.46,0,0,8.46,0.71,9.77
 72-82,0,0,32.86,4.23,0,11.24,0,4.15,14.28,41.56,0,0,1.53,1.32,0,0,2.88,0,0,185.64,0,2.59,20.53,11.54,7.15,0,6.55,0.87,3.29,0,0,0,0,7.26,0,0.61,21.62,0.71,35.48
 84-94,0,0,97.51,5.55,0,12.46,0,8.16,6.98,33.91,5.29,0.74,0,0,0.61,3.75,8.53,0,2.28,162.56,0,2.55,17.85,4.38,14.63,1.97,6.87,0,14.92,0,0,0,0,3.04,0,2.16,9.79,2.48,11.91
 96-106,0,0,53.88,8.27,1.52,18.29,0.73,11.2,13.09,44.45,0.63,0,0,0.91,0.77,0,18.51,4.08,0,267.88,1.26,5.03,8.99,26.8,8.89,1.71,20.85,0,5.61,0,0,0,0,8.48,0.59,6.75,40.8,4.37,7.95
108-118,0,0,71.62,0,0,4.69,0,8.79,8.98,67.34,3.59,0,0.69,0.55,0,3.48,17.84,5.34,0.83,339,1.67,15.44,19.05,25.61,15.46,2.32,14.55,2.78,3.5,0,0,0.94,0,5.2,1.31,0,24.54,1.64,26.5
120,0,0,32.99,2.14,0,7.37,0,5.09,6.77,85.05,16.75,0,2.09,3.77,0,0,4.16,1.84,0,334.64,1.72,17.95,28.08,31.12,13.97,0,26.25,2.54,6,0,0,0,0,10.94,0,0,18.61,0,7.88
