stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,glial,immune,iridophores,liver,mesenchyme,muscle,neural,olfactory,otic,periderm,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,19.41,0,0,0,0,20.14,1.76,0,0
 24-34,0.9,0,0,0,0,0.76,0,0,0,0,0,2.53,1.57,124.34,1.42,1.04,0,0.85,52.86,2.71,0,0
 36-46,0,0,0,0,0,12.09,0,3.9,0,4.15,0,8.8,5.42,180.69,0.59,0,0,0,60.54,0,0,0
 48-58,0,0,0.41,0,0,85.9,0,8.19,0,0,0,10.81,0.49,273.66,0.47,0,0,0,48.9,1.81,0,5.17
 60-70,0,0,0,0,0,268.3,0,25.92,0,0,0,17.15,0.69,375.31,0,0,0,0,38.09,1.15,0,9.32
 72-82,0,0,0.83,4.71,0,384.06,0,19.35,0,0,0,27.86,0,411.58,1.66,0,0,0,54.96,6.04,0,8.49
 84-94,0,0,0,0,0,204.82,1.34,13.13,0,4.3,0,29.64,1.96,291.73,0,0,4.32,0,30.47,5.45,0,0
 96-106,1.78,0,0,0,0,134.12,0,13.86,0.63,2.53,0,24.05,1.84,203.6,0,1.19,0,0,13.14,12.8,2.23,11.4
108-118,0,0,5.97,0,0.5,88.62,0,16.79,0,2.6,1.52,29.03,1.54,166.32,0,0,0,0,5.84,3.98,0,1.18
120,0,1.28,0,0,0,43.22,1.66,43.23,0,0,0,6.83,0,76.73,0,0,0,0,25.96,10.52,0,0
