stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste
  5-6,7.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.34,0,0,0,0,0
 10-12,7.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.03,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.21,0,0,0,0,0,0,0,0,0,0,1.04,0,0,1.44,0,0,0,0,1.62,0.98,0
 24-34,0,0,0,0.71,0,0,0,0,0,0,0,0,0,1.34,0.72,0.61,6.32,2.59,1.26,0,0,1.75,0,1.32,0
 36-46,0,0,0,0,0,0.81,0,0,0.56,0,0,0,0,0,0,0,1.81,0,1.13,0,0,0,0,0,0
 48-58,0,0,0,0,0,1.37,0,0,0.39,0,0,0,0,0,0.45,0,3.25,1.29,0,0,0,0,0,0,0
 60-70,0,0,0,4.68,0,2.11,0,0,20.97,0,0,1.16,0,4.47,10.33,0,2.29,0,0,0,0,1.95,0,0,0
 72-82,0,0,0,0.57,4.05,1.1,0,1.99,10.67,0,0,0,0,8.05,2.62,0,5.49,0,0,0,0,0,0,0,0.92
 84-94,0,0,1.6,2.9,0,4.8,0,0,21.4,0,0,0.7,0,0,0,0,4.59,3.01,0,0,0,3.82,0,0,0
 96-106,0,2.49,0.72,19.44,1.15,5.95,0,8.27,40.66,0,0.85,0,1.18,0,6.89,0,9.69,0,2.5,0,0,0.73,0,0,0
108-118,0,2.11,1.64,8.51,0,2.86,0,0.89,24.28,1.23,1.33,0,2.01,0.43,8.58,0,24.53,1.68,0,0,2.13,3.93,0,0,0
120,0,0,1.66,25.52,0,0,2.96,0,58.13,0,3.24,0,1.11,4.74,0,0,12.18,0,0,0,0,1.04,0,0,0
