stage,blastomeres,eye,mesenchyme,neural,notochord
  5-6,7.53,0,0,0,0
  7-9,0,0,0,4.3,0
 14-21,0,0,0,0,2.59
 24-34,0,0,0,4.27,0
 48-58,0,0.7,0,0,0
 60-70,0,0,0,7.15,0
 72-82,0,0.64,1.51,0,0
 84-94,0,1.28,0,0,0
 96-106,0,1.57,0,0,0
108-118,0,2.4,0,0,0
