stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,26.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.53,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.43,0,0,0,0,0,0,0,0,0,0
 14-21,0,6.48,20.85,1.77,0,0.87,0,1.31,0,0,0,0,0,0,0,0,0,0,13.44,4.75,0,0,0,0,25.87,0,0,0,0
 24-34,0,7.07,4.66,0,0.82,0,0,0.67,0,0,0,0,0,0,0.81,1.93,0,0.7,7.47,0,0,0,0,0,41.13,0,0,1.6,1.1
 36-46,0,1.89,2.8,0,1.69,1.19,0,1.03,0,0,0,0,0,0,2.1,16.89,8.23,0,18.05,11.31,0,0,0,8.09,12.2,0,0,0.68,0
 48-58,0,1.62,3.74,0,5.83,0.38,0,0,0.44,0,1.13,0,0,0,0.93,182.73,0,0.45,3.06,0,0,0,0,0,0,0,0,0.49,0
 60-70,0,1.02,0,0,8.63,1.31,0,9.05,2.48,0,0.81,0,0,0,0,249.74,0,0,19.41,0,0,0,0,0,0,0,2.19,0,0
 72-82,0,0,6.95,0,34.85,0,0,0,0,0,0,4.75,0,0,1.89,527.04,0.71,1.41,9.99,0,0,0,0,0,0.63,0,0.87,0,0
 84-94,0,1,2.45,0.66,20.74,0.56,0,9.28,1.77,0,0,0,0,0,8.86,734.38,0,1.09,2.67,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,3.37,12.33,24.48,0,0,5.46,1.6,3.02,0.62,0,0,0,0.6,778.97,0,1.81,24.93,2.3,1.9,1.23,0,0,0,0,1.48,5.42,0
108-118,0,0.45,4.34,0,14.39,1.34,4.68,4.6,2.11,0,0.42,0.89,0.41,2.42,1.8,513.15,0,0,3.52,0,0,0,0.92,2.53,0,0.76,0.5,0.77,0.59
120,0,0,2.35,0,12.84,0,0,14.29,15.07,0,0,0,0,0,2.84,535,0,0,21.11,0,0,0,0,0,0,0,0,0,0
