stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.07,0,0,0,7,0,0,0,0,0,0,0,0,0,0
 14-21,0,0.83,0.98,0,0.87,0,0.89,0,0,0,0,0,0,0,0,0,0.84,0,0,0,24.85,0,1.19,0,1.98,0,0,0.91,2.22,3.28,0,0,1.06,0,0
 24-34,0,2.02,0,3.91,0,0,2.04,0.91,0,1.04,0,0.6,0,0,0,0,5.53,0,0,0.78,64.61,0,1.47,0,0,0,0,0,0,21.2,0,0,2.31,0,2.64
 36-46,0,2.38,0,7.54,0,0,3.67,0,0,0,0,0,0,0,0,0,7.41,0,0,2.14,66.27,0.58,3.4,0,0,0,0,0,0,24.69,0,0,6.83,0,0
 48-58,0,7.56,0,6.79,0,0,15.91,0,5.1,0,0,0,0,0,0,0,9.06,0,0,1.06,57.69,5.13,0,0,0,0,0.96,0,0,10.6,0,0,4.63,0,0
 60-70,0,0,0,20.32,0,3.24,4.53,0,0,0,0,0,0,0.61,0,0,2.95,2.07,0,0.69,88.89,0,0.84,0.58,0,0,0,0,0,10.52,0,0,1.5,0,0
 72-82,0,0.88,0,62.31,0,1.93,16.61,0,0,0.58,0.67,0,0,0,0,0,24.2,0.58,0,0.67,63.24,0,1.08,0,0,0.71,1.01,0,0,26.81,0,0,2.78,0,0
 84-94,0,2.56,3.69,39.2,0.56,1.26,20.29,0.68,0,0,0.67,0.62,1.03,0,0,4.04,13.72,0,0,2.38,87.54,0,1.81,0.65,0,0,0,0,0,18.86,0,2,0.97,1.06,0
 96-106,3.27,4.54,0,102.37,0,0,14.8,0,0,0,2.54,0,1.03,1.13,0,0.72,22,3.74,1.1,1.44,42.84,0,2.73,5.52,0,0,10.09,0,0,4.63,0,0,12.15,0,0
108-118,0,8.14,0,64.5,2.01,0.8,19.94,0,0,0,6.22,0,1.24,1.59,0,0,36.63,0,1.84,1.25,94.18,0,1.6,2.42,0,0,1.39,0,0,7.69,0.42,0,5.58,1.02,0.59
120,0,0,4.96,37.73,0,9.33,29.21,7.77,0,0,5.14,0,0,0,3.09,0,44.08,0,0,3.21,90.07,0,0,11.29,0,0,0,0,0,0,0,0,14.33,0,0
