stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,iridophores,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,slow.muscle,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,201.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.17,136.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.66,0,0,0,0,0,0
  7-9,0,11.93,0,23.34,0,0,3.31,0,0,0,0,8.02,0,0,0,0,0,112.93,13.04,0,0,33.29,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.49,3.88,0,0,16.76,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0,6.07,0,5.51,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0.66,0,0,0,0.61,2.52,0,0,0,0,0,1.57,0,1.04,0,653.26,0,4.91,0,0,0,0,0,9.14,0,0,0,0
 36-46,0,0,0,0,0.79,0,5.23,0,0,1.2,0,0,0,5.91,0,0,0,1113.99,0,0,0,0,0,0,0,75.64,0,0,0,0
 48-58,0,0,0,0,29.49,0,102,0,0,8.47,0,0,0,8.46,0,0.4,0,1940.8,0,0.41,0,0,0,0,0,364.26,0,0,0,0
 60-70,0,0,0,0,8.48,0,359.58,0,0,6,0,0,1.14,8.56,0,6.73,0,764.38,0,0,0,0,3.31,0,0,769.31,0,0,0,0
 72-82,0,0,0.58,0,6.1,0,315.41,0,0,31.86,1.01,0,0,32.78,0,17.12,0,1184.1,0,1.72,2.31,0,0,2.99,0,677.72,0,0.84,0,0
 84-94,0,0,0,0,3.16,9.91,324.46,0,1.38,11.53,3.08,0,0,17.61,0,7.19,7.25,688.43,0,0,6.25,0,0,4.59,7.9,472.97,0,0,0,9.33
 96-106,0,0,0,0,6.22,12.18,324.86,0.89,0,38.32,0,0,0,28.63,2.2,5.16,0,931.13,0,1.2,2.28,0,0,0,0.71,166.56,0,0,0,0
108-118,0,0,0,0,23.53,0,527.76,0.91,0.93,41.13,0.47,0,0,47.62,0,16.87,0,1054.18,0,2.13,7.92,0,0,0,0,214.55,0,0,0.66,0
120,0,0,8.73,0,12.52,0,413.19,3.1,0,107.24,0,0,0,17.1,0,3.62,2.62,1794.83,0,0,0,0,0,3.33,0,70.35,4.11,0,0,0
