stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,49.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,70.9,0,0,0,0,0,0,0,0,0,34.02,0,0,0,0,0,0,0,0,0,7.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,11.27,0,0,0,0,0,5.6,0,0,0,0,0,0,0,0,0,16.76,14.87,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.8,0,0,0,0,0,0,0,0,0,0,12.52,0,0,0,0,0,0,0,0,0,15.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,7.47,7.97,0,4.95,0,0,0,0,0,0,0,0,0,0,21.23,0,0.9,0,2.95,8.46,59.17,0,0.93,0,1.62,1.95,0.89,0,2.51,0.85,0,0.9,0,0
 24-34,0,0,0,0,0,3.83,0,0,0,0,0,0,0,0.83,0,0.83,8.06,4.08,11.47,0,1.82,8.71,0,0,0,0,2.2,0,0.65,0,0.67,2.29,0,1.51,0,3.65
 36-46,0,0,3.36,0,0,2.24,0,0,0,1.39,0,0,0,1.22,0,0.86,0,11.33,4.13,0,0.64,20.13,0,2.29,0,0,14.4,0,1.3,0,0,3.45,0,1.18,0,2.93
 48-58,0,0,6.11,0,0,0.52,0.78,5.66,0.53,0,0,0,0.49,2.56,0,0.51,0,37.13,9.84,0,0,9.99,0,0,0,0,0,0,0,0,0,0.47,0,1.05,0,0
 60-70,0,0,5.18,0,0,17.54,0,0,1.92,0.87,2.09,0,0,15.44,0,3.06,1.44,47.73,34.78,1.84,3.59,12.17,0,0,0,2.4,0,0,0,0,0,2.24,0,3.11,0,0
 72-82,0,0,2.81,0.49,0,8.11,0,1.14,3.88,21.93,4.67,0,1.02,5.64,0.63,2.17,5.59,41.44,68.57,3.85,5.7,32.95,0,0,0,0,0,0,2.72,0,0,0,1.68,15.46,0.71,0
 84-94,0,0,10.58,0,0,37.23,1.97,0.63,1.36,26.68,4.96,0,0,14.72,0,6.67,8.49,32.34,49.49,2.75,1.02,12.78,0,0,0,11.31,0.61,0,4.03,0,0,1.86,0.84,4.11,1.84,0
 96-106,0,0,5.28,0,3.15,43.51,0,0,6.82,21.78,17.69,0,0,9.78,0,9.7,12.35,41.71,63,5.18,5.47,45.7,0,0,3,9.03,1.78,0,4.46,0,0,0,1.3,9.87,0.67,2.58
108-118,0,0,12.39,0.61,0,55.62,0,3.95,3.5,13.54,21.95,0,1.86,10.37,2.19,15.08,16.58,79.76,86.24,3.07,5.97,28.37,0.58,1.1,0.6,0,1.56,0,9.64,0.96,0,4.11,0,13.41,0.92,2.39
120,0,0,20.67,1.22,1.61,28.23,0,0,1.66,23.14,69.16,0,1.15,43.4,3.89,7.94,24.97,20.26,75.81,0,9.7,20.66,2.85,1.06,9.8,19.05,4.44,0,8,0,0,0,0,4.57,5.18,0
