stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,glial,gut,heart,immune,ionocyte,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,95.25,591.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.71,0,0,0,0,0,0,0,0,0
  5-6,0,219.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.82,0,0,0,0,6.3,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.73,0,0,0,0,0,10.61,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.4,0,0,0,6.42,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.67,0,0,2.33,0,0,0,0,0,0,0,0.84,0,0,20.64,0,4.84,0,0,0,0,0,27.16,5.52,26.8,0,0,0,0
 24-34,0,0,0.66,0,0,0,4.22,0,1.25,0,0,0,0,0,3.58,0,5.09,46.4,0,31.77,0,0,0,0,0,1.52,0,70.42,0,0,4.95,0
 36-46,0,0,0,1.03,0,0,6.82,0,1.99,0,0.65,0,0,1.69,0.74,0.88,4,147.11,0.66,67.37,0.63,0,0,0,0,0.85,0,68.05,0,0,2.76,0
 48-58,0,0,0,0,0,0,15.31,0,1.3,0,0,0,0,0,7.28,0,1.37,172.68,0,50.89,0,0,0,0,0,0.45,0,98.67,0,0,5.25,0
 60-70,0,0,0,0.78,3.52,0,44.97,0,2.18,0,0.92,4.6,0.92,0,6.5,0,0,337.84,0,61.35,0,0,0,0,0,0.86,0,90.72,1.62,0,0.75,0
 72-82,0,0,0,6,0,0,52.9,0,4.14,0.9,1.51,0,0,0,15.93,0,0,299.82,0,93.5,1.33,0,0,0,0.73,0.57,0,51.12,3.07,0,4.62,0
 84-94,0,0,0.74,0,0,0,48.06,0,3.58,0,0.63,2.13,0,0,15.88,0,0.76,193.86,0,70.17,2.62,0,0,0,0,0,0,24.44,15.78,0,18.4,1.97
 96-106,0,0,0,0.58,0,0,48.17,3.09,4.34,0.71,0,0,0,0,10.82,0,3.68,180.38,0,106.59,1.47,0,0,0,0,0,0,20.43,20.44,1.26,1.88,0
108-118,0,0,0.79,1.07,0,0.48,64.48,0.65,9.29,0.51,1.4,0,0,0,14.78,0,0,147.48,0,60.21,5.9,0,0,0,0,0,0,4.59,24.6,1.53,1.92,0
120,0,0,0,0,0,0,84.9,3.87,14.5,1.09,0,0,0,0,0,0,5.52,193.22,0,48.72,9.31,0,0,0,0,0,0,50.88,27.63,0,4.37,0
