stage,axial,blastomeres,endoderm,epidermis,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,periderm,spinal_cord,taste,vasculature
  3-4,9.65,9.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,31.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,32.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.37,0,0,0,0,0,0
 36-46,0,0,0,13.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91,0,0,0.9,1.24,0,0
 48-58,0,0,0.43,43.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85,0,0,0,0,0,0
 60-70,0,0,0,41.64,0,2.9,0.91,0,0,0,0,0,0,0,0,0,0,0,10.19,0,0,0,0,24.14,0
 72-82,0,0,1.02,114.94,1.16,7.45,1.66,0,1.15,2.8,0,0.52,0,0.51,3.14,1.94,1.48,0,4.04,0,1.73,0.77,0,90.46,0
 84-94,0,0,0,174.92,0,1.7,0,1.5,0,10.61,0,0,0.62,0,0,1.56,0,0,2.69,0,1.05,1.51,0,84.92,1.24
 96-106,0,0,2.47,290.61,0,4.23,4.03,0,0,26.11,1.02,0,0,0,3.15,2.05,0,0,27.56,0.81,1.35,1.86,1.88,149.89,0.7
108-118,0.67,0,1.54,270.86,0,0.76,1.29,0,0,31.06,0,1.4,0.44,0,0,6.06,17.02,1.01,7.82,0,0,2.16,0,108.27,1.3
120,0,0,0,239.36,0,0,0,0,0,17.13,0,0,0,0,5.65,0,7.21,0,6.56,0,0,0,0,43.19,0
