stage,blastomeres,epidermis,eye,gut,hatching.gland,heart,immune,liver,mesenchyme,mucous,muscle,neural,paraxial.mesoderm,taste,vasculature
  3-4,54.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,44.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,8.8,3.54,0,0
 14-21,0,0.83,0,0,2.09,0,0,0,9.49,0,1.42,0,0,0,0
 24-34,0,0.62,0,0,0,0.94,0,0,0,0,5.7,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,4.62,0,0,3.54,0,0,0
 60-70,0,0.9,0,0,0,0,0,0,3.83,0,0,9.3,0,0,0
 72-82,0,6.53,0,0.63,0,0,0,0,3.27,0,0,6.13,0,0.87,1.95
 84-94,0,6.14,0,0,0,0,0,0,0,0,0,4.14,0,0.6,0
 96-106,0,18.69,0.98,26.56,0,0,0,1.99,2.08,0,0.56,0,0,1.84,0
108-118,0,9.21,2.8,13.54,0,0,0.75,2.21,4.2,1.06,0,4.91,0,0.44,0
120,0,42.34,0,16.65,0,0,0,0,0,0,0,0,0,0,0
