stage,axial,blastomeres,epidermis,eye,fin.epithelia,glial,gut,immune,iridophores,mesenchyme,muscle,neural,notochord,pericytes,pronephros,spinal.cord
  5-6,0,6.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.16,0,0,0,0,0,0,0,0,0,0,3.27,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.34,0,0,5.54,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,3.8,2.08,0,0,0.84
 24-34,0,0,0,0,0,0,0,0,0,0,0,12.58,0,0,0,1.91
 36-46,0,0,0,0,0,0,0,0,0,0.83,0,1.77,0,0,0,0
 48-58,0,0,0,0.79,0,0,0,0,0,0.98,0,4.43,0,0,0,0
 60-70,0,0,0,1.36,0,0,0,0,0,7.12,1.08,5.24,0,0,0,0
 72-82,0,0,1.94,8.81,0,0,0,0,0,9.06,0.66,10.14,0,0,0,0
 84-94,0,0,0,56.18,1.62,0,0,2.33,0,2.73,0,6.07,0,0,0,0
 96-106,0,0,0,48.41,0,0,0,0,1.25,41.84,1.29,16.48,0,1.44,0,0
108-118,0,0,0,47.95,0,0.91,0.45,2,0.75,26.9,0,16.99,0,0,0,0
120,0,0,0,15.61,0,0,0,0,0,48.25,0,15.27,0,0,0,0
