stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,30.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,11.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.97,0,0,0,0,0,3.29,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.85,3.95,0,0,9.16,0,0,3.78,0,0,0,0,0,0,0
 14-21,0,0,0,2.86,5.76,0,0,0,0,0,0,0,0,0,0,0,0,5.78,0,0,0,1.03,0,0,0,1.33,0,13.79,0,0,6.14,5.36,0.91,0,1.6,0
 24-34,0,0,0,0.59,0,0.62,0,0,0,0,8.68,0,0.68,0,0,0,0,5.12,0.7,0,0,14.54,0,1.03,0,0,0,40.99,0,2.71,1.54,0,0,0,24.36,0
 36-46,0,0,0,0,0.61,1.4,0,0,0,0,2.38,0,0,0,0,0,9.86,7.49,3.48,0,3.28,3.43,0,5.52,0,0,0,47.82,0,0,0,0,2.03,0,67.83,0
 48-58,0,0,0,0,0.38,3.1,0.58,0,0,0,3.37,0,0,0,0.65,0,9.29,4.85,1.05,0,0.45,5.77,0,4.68,0,0,0,17.66,0,0,0,0,3.32,0,27.23,0
 60-70,0,11.44,0,0,9.91,9.51,0.58,6.42,2.99,0,5.5,0,0,0,0,0,5.76,23.93,14.08,0,2.63,17,0,6.63,0,0,0,28.59,0,0,0,0,0,0,31.76,0
 72-82,0,0,0,0.68,54.1,1.47,0.82,0,4.59,1.01,1.97,0,0,0,0.6,1.36,3.98,23.25,1.97,9.1,2.6,14.48,0,8.55,0,0,0,20.82,0,0,0,0,0,0.56,67.33,0
 84-94,0,0,0,10.16,54.49,5.3,0,0,14.61,8.08,2.23,5.41,0,0.76,0,6.45,4.16,19.83,7.8,0,0,8.21,0,4.62,0,0,0,60.84,0,0,0,0,0,0,59.2,1.66
 96-106,0,1.15,0,1.9,48.24,23.66,0,0,3.85,3.51,5.77,2.79,0,0,2.26,0,0,27.39,24.69,1.09,1.13,6.6,0,16.19,0.73,0,0,46.37,0,0,0,0,0,0,102.97,0.65
108-118,0,0.54,0.45,6.49,50.78,11.45,0,0,5.03,8.33,1.76,2.34,1.57,1.18,0,0.98,4.06,16.79,13.57,1.62,0.66,10.9,0,4.76,2.94,0,2.06,40.09,0,0,0,0,0,3.95,85.6,0
120,0,0,1.28,10.89,26.84,3.26,0,2.99,10.21,15.58,6.76,14.16,1.65,0,0,3.05,5.04,27.61,23.03,0,9.36,29.77,0,1.11,0,0,0,52.77,0,0,0,0,0,0,254.63,0
