stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,mesenchyme,mucous,neural,paraxial_mesoderm,periderm,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,274.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,149.48,0,0,0,0,0,0,0,0,14.25,0,0,0,7.48,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,14.31,7.51,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,19.24,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.55,0,0,0,0,0
 24-34,0,0,1.44,1.02,3.11,0,0,0,0,0,3.01,0.6,2.96,55.57,0,1255.51,0,0.59,2.76,0,0
 36-46,0,0,13.53,0,0,1.04,0,0,0,0,0,2.77,1.45,14.94,0,1418.48,0,0,3.64,0,4.22
 48-58,0,0.54,0.95,0,10.56,2.27,0,0.66,0,0,0.92,1.16,6,13.08,0,888.94,1.28,0,1.89,2.18,0
 60-70,0,0,1.53,0,6.74,0,0,0,0,0,0,0.88,8.07,7.61,0,438.31,0,0,1.12,0,0
 72-82,0,0,0,0,0,2.2,0,0,0,0,0.65,0,0.51,9.88,0,124.06,0,0,0,0,0
 84-94,0,0,2.15,0,0.6,1.19,0,0,0,0,0.56,0,1.82,0,0,292.07,0,0,0,0,0
 96-106,0,0,0,0,0,0,2.29,0,0,0,0.58,0,0.81,0,0,41.52,0,0,0,0,0
108-118,0,0,0,0,0,0.41,0,0,0.45,0,1.33,0,0.7,0,0,37.86,0,0,0,0,0
120,0,0,9.86,0,0,0,0,0,0,0,0,0,0,0,0,8.26,0,0,0,0,0
