stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,periderm,pgc,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,4.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.05,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,7.72,0,0,0,0,0,0,0,0,0,0,4.58,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.88,0,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.05,0,0,0,0,16.3,0,0,0,0
 24-34,0,0,1.66,0,0,2.16,0,0,2.16,0,0,0,0,0,0,0,0,0,1.41,0,0.67,219.43,5,0,0.76,0,96.03,0,0,0,0
 36-46,0,0.95,0,0,0,26.58,0,0,1.7,0,0,0,0,0,0,0,0,3.35,0,0,0,528.1,3.86,0,0.84,0,146.34,0,0,0,7.38
 48-58,0,0,0,0,0,91.88,0.41,0,4.21,0,0,0,0,0,0,0,2.27,5.32,4.98,0,2.2,806.35,6.07,0,1.21,0,143.38,0,2.62,0,0
 60-70,0,0.82,0,10.04,0,224.54,1.1,0.9,13.75,0.62,0,0,0,0,0,0,0,0,1.7,0,0,1274.22,2.77,0,0,0,191.54,0,0,0,0
 72-82,0,1.11,0,4.21,1.07,209.82,0,0,6.63,1.26,0,0,0,0,0,0.97,0,0,7.27,0,0,966.95,2.19,0,4.28,0,103.4,3.4,0,0,6.4
 84-94,0,3.14,0,3.81,2.87,166.07,0.63,0.77,11.63,0,0,0,1.38,0,0,0,0,0,9.92,0,2.38,608.59,1.11,0,2.58,0,87.93,0.62,0,0.77,0
 96-106,0,0,0,1.8,0,105.48,0,0,11,0,0,0.58,3.69,0.62,0.75,0,0,0,0,0,0,581.37,1.62,0,2.26,2.06,51.01,0,0,1.27,0
108-118,0,8.73,0,4.3,0,96.42,0,0.75,8.5,0,0,0,0,0,5.25,0,0,0,2.09,1.52,0,545.06,5.27,1.35,0,0,30.11,0,1.16,0,0
120,0,0,1.28,14.59,0,198.86,0,1.58,21.14,0,0,0,2.34,0,0,0,0,0,1.45,0,0,1132.16,2.89,0,0,0,56.5,0,0,0,0
