stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,4.13,32.72,5.05,0,12.51,0,0,8.22,2.87,0,0.85,0,0.96,0,0,0,12.68,0,0,9.53,221.44,1.31,2.4,5.2,1.83,0,4.98,22.42,1.76,0,27.38,67.04,0,0,1.05,0,0
 24-34,0,7.82,0.86,0,31.98,0.6,0.62,17.95,0,1.41,0,0.62,0,0,0.7,0,30.09,0.63,0,11.87,303.96,3.43,2.52,3.51,0,0,11.24,0,0,0,3.33,74.67,0,0,5.87,0,1.52
 36-46,0,4.92,0,0,37.86,0,1.17,12.59,0,0,0,0,0,0,0.68,0,31.61,0,2.29,8.61,278.59,1.25,2.01,0,0,0,14.67,0,0.62,5.57,0,61.07,0,0,3.65,0,0.72
 48-58,0,9.99,0,0,49.71,0.46,0.4,18.33,0,0,0,0,3.51,0,0,0,40,0,3.32,4.88,137.87,3.04,1.29,0,0,0,9.73,0,0,0,0,35.03,0,0,4.5,0,1.98
 60-70,0,1.33,0,0,78.82,8.54,0.87,35.53,0,0,0,0.62,0.58,0,1.25,0,53.88,0,1.29,0.6,138.02,2.55,0.96,0,0,0,7.75,0,0,0,0,43.22,0,0,4.89,0,0
 72-82,0,5.1,0,0,53.82,0,0.69,28.33,0,0,0,1.03,0,0,3.64,4.65,74.95,0.56,4.95,11.23,121.81,0,3.15,3.02,0,0,7.69,0,0,0,0,9.46,0,0,5.29,0.71,0
 84-94,0,5.84,0.84,2.35,28.9,0.92,2.94,15.17,0.67,0,0,0.55,0,0,1.11,0,45.37,1.39,1.45,5.3,72.5,1.26,1.55,0,0,0,8.33,0,0,0,0,12.63,0,0.98,4.66,0,10.2
 96-106,0,12.8,3.61,0,16.81,2.36,0,32.97,1.82,0,1.16,1.31,2.12,1.91,2.91,0,62.21,0.77,2.03,4.88,43.66,0.75,1.39,3.55,0,2.39,21.5,0,0,0,0,9.67,2.04,3.81,7.81,4.26,0
108-118,0,16.05,0.7,0.47,53.57,4.89,6.52,38.93,1.18,0,0.52,3.37,1.45,0,1.38,3.13,95.76,4.07,1.38,7.25,136.79,0,3.54,8.22,0,0,18.27,0,0,0,0,4.86,0.66,0,1.19,0,2.85
120,0,23.5,0,0,51.58,0,0,19.44,0,0,0,1.69,0,0,0,0,78.12,0,0,9.48,130.97,2.23,0,0,0,0,0,0,1.38,1.21,0,7.58,0,0,5.18,0,4.74
