stage,epidermis,erythrocytes,eye,fin.mesenchyme,glial,immune,ionocyte,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,8.78,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.51,0,0,0,5.89,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.14,0,0,0,0,0,3.03,2.89,0,0,0,0,0,0,0.99,0,0,0,0
 24-34,0,0,0.64,0,0,0,0,0,0,0,2.01,4.29,9.03,0,0,0,2.33,0,0,4.83,0,0,0
 36-46,0,0,1.26,0,1.51,0,0,0,0,0,0,9.94,0,0,0,0,3.72,0.81,0,3.88,0,6.8,0
 48-58,0,0,5.43,0,1.7,0,0,1.07,0,0,0,20.36,0,0,0.64,0,0.49,0,0,1.64,0,1.27,0
 60-70,1.87,0,6.26,0,0,0,0,0,0,0,0,13.13,0,1.95,0,0,4.13,0,0,13.14,0,0,0
 72-82,0,0,6.42,0,0.57,0,0,8.62,0,0,0,15.64,0,0,1.32,0,2.59,0,0,0.61,0,0,0.65
 84-94,0,0,17.87,0,1.29,0,0,0.58,0,0,0,1.11,0,0,0,0,2.88,0,0,0,0,0,0
 96-106,0,0.68,9.76,0,0.81,0,0,1.52,3.08,5.07,0,2.59,0,0,0,0,8.08,0,0,10.38,1.08,0,0
108-118,1.28,1.41,10.17,0.84,0,0,0.51,7.34,0,0,0,17.5,0.6,0,5.69,0,0,0,0,0,0,0,0
120,0,0,0,0,0,1.95,0,0,0,0,0,52.89,0,0,0,0,5.74,0,0,0,0,0,0
