stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,immune,lateral.line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  5-6,25.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.24,3.78,0,0,4.5,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.13,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.86,3.18,0,1.24,0,0,0,0,0,0,0,0.93,0,0.95,6.92,0,0,0,0,0.96,1.76,1.67,0,1.09,0
 24-34,0,0.67,0.62,1.36,0,3.21,1.06,0,0,0,0,0.86,0,5.64,0,3.81,27.82,0.69,0.72,3.1,0,1.45,0,3.89,0,0,0
 36-46,0,0,0,0.84,0,0.61,0,0,0,0,0,0,0,3.26,0,0,30.72,0.88,0,0,0,0,0,4.42,0,1.53,0
 48-58,0,0,0,1.77,0,5.29,0,0,1.72,0.37,0,0,0,0.57,0,0,20.66,0,0,0,0,0.92,0,2.32,0,0,0
 60-70,0,0,0,2.14,0,32.48,0,0,7.2,0,0,0,0,1.39,0,0,23.04,0,0,0,0,11.28,0,0.69,0,0,0
 72-82,0,0,0,0,0.56,12.13,0,0,5.6,0,0,0,0,7.44,0,0,11.66,0,0,0,0,2.3,0,0,0.57,0,0
 84-94,0,1.42,0,0.7,10.89,5.99,0,1.3,2.22,0,0,0,3.81,7.38,1.26,5.61,24.17,0,0,0,0,2.47,0,7.66,0,8.39,0
 96-106,0,0,0,0,0,7.13,0,0,1.9,0,0,0,0,3.7,0,0,6.44,0,0.71,0,0,1.94,0,0,0,3.41,1.36
108-118,0,0,0,4.49,0,3.22,0,0,5.15,0,0.58,0,0,0,0,0,8.14,0,0,0,0,4.31,0,0,1.66,0.43,0
120,0,0,0,0,0,10.24,0,0,3.48,0,0,0,0,2.52,0,0,17.17,0,0,0,0,2.45,0,0,2.93,2.2,2.08
