stage,endocrine.pancreas,epidermis,erythrocytes,eye,glial,gut,immune,iridophores,lateral.line,mesenchyme,mucous,muscle,neural,olfactory,otic,spinal.cord,vasculature
 14-21,0,1.84,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0.84,0
 24-34,0,0,0,0.68,0.68,0,0,0,0,1.18,0,0,17.18,0,0,2.15,0
 36-46,0,0,0,5.03,0,0,0,0,0,0,0,1.52,21.31,0,0,2.74,0
 48-58,0,0,0,20.22,1.59,0,0,0,0,0,0,0,35.67,1.22,0.71,3.15,1.81
 60-70,0,0,0,88.94,0.9,0,0,0,0,0.96,0,0,37.93,0,0,2.03,0
 72-82,0,1.21,0,124.95,2.99,0.72,0,0,0,0,1.52,0.88,52.65,0,0,9.74,0
 84-94,0,8.61,0,113.68,0.98,0,1.4,0,0,5.59,0,0,32.58,0,0,4.2,0
 96-106,0,0.63,0,128.7,4.46,0,0,0.69,0,6.57,0,0.56,21.63,0,0,0,0
108-118,0.77,0,0,112.64,17.73,0,0,0,1.38,0,0,0,63.98,0,0,0,0
120,0,3.3,3.08,145.43,2.8,0,2.62,0,0,5.95,0,0,142.03,0,0,18.99,0
