stage,epidermis,eye,fast.muscle,fin.epithelia,glial,gut,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord
 14-21,0,1.83,0,0,0,1.19,0,0,0,0,9.54,0,0,1.67,0.9,0.98,0,3.4,1.59
 24-34,0,2.08,0,0,0,0,0,0.61,0,0,34.42,0,0,0,0,0,0,0,7.33
 36-46,0,1.91,0,0,2.34,0,0,1.01,0.63,0,25.3,0,0.84,0,0,0,0,0,4.9
 48-58,2.46,1.96,0,0,3.58,0,0,2.01,0,0,27.62,0.91,0,0,0,0,0,0,1.16
 60-70,0,5.36,0,0,0.76,0,0,3.46,0,0,7.83,0.92,0,0.94,0,0,7.18,0,2.08
 72-82,0,0.93,4.48,0.55,0,0,0,0.82,0,0,10.11,0,0,0,0,0,0,0,1.19
 84-94,0,3.07,0,0,0,0,0,0,0,0,9.52,0,0,1.52,0,0,0,0,0
 96-106,2.33,6.29,0,0,7.13,0,0,0.86,0,0,9.45,0,0.75,3.18,0,0,0.78,0,0
108-118,0,0.5,1.18,0,2.14,0,0,2.91,0,1.97,10.19,0,1.83,0,0,0,0.47,0,0
120,0,0,1.57,0,1.21,1.29,1.43,0,0,0,2.82,0,0,0,0,0,0,0,0
