stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.59,173.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,75.97,537.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.82,0,0,0,0,0,11.25,0,0,0,0,0,0,0,0,0,0
  7-9,75.61,69.07,3.32,0,0,123.5,0,0,0,0,24.42,0,0,0,0,0,0,0,0,0,0,1300.05,98.11,0,0,260.97,0,10.11,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.5,14.89,0,0,36.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374.51,7.36,0,0,253.23,0,0,0,31.23,0,0,0,0,0,0,0,0
 14-21,0,0,0,65.85,27.7,4.48,0.87,0,0,2.27,0,0,0,0,0,0,0,4.76,0,0,2.48,51.09,3.28,1.1,0.95,4.73,0,0.85,25.79,1.73,2.53,8.69,13.44,0,0,9.15,0,8.59
 24-34,0,0,0,49.48,2.36,4.13,9.2,1.24,0.99,0,0,3.6,0,0,0,0,1.79,4.21,1.44,0,0.69,86.21,0,1.38,0.67,0,0,3.74,2.33,0,0,4.42,12.28,0,0,11.69,0,4.26
 36-46,0,0,0,47.03,0,5.9,5.55,0.82,14.84,0,0,1.26,0,0,0,0,2.98,4.05,0,0,2.86,105.73,2.89,0,1.7,0,0,0,0,0.63,0,0,21.16,0,0,17.63,0,16.96
 48-58,0,0,0,9.78,0,23.17,17.68,0.71,13.08,0,0,2.22,0,0,0,0.45,3.07,10.98,0,0,1.31,81.6,0,0,1.62,0,0,2.54,0,0,0,0,15.53,0,0,14.39,0,9.98
 60-70,0,0,0,19.94,0,38.14,8.53,0,27.61,5.21,0,0,0,0,0,1.22,13.44,12.12,1.75,7.81,0,178.62,0.83,0,0.62,0,0,0,0,0,0,0,13.16,0,0,3.88,0,19.31
 72-82,0,0,0,6.63,0,26.82,5.71,2.5,31.86,0,0,1.84,0,4,0,1.04,0,11.53,0,0,1.81,173,0,3.72,0.61,0,0,0.56,0,0,0,0,17.06,0,1.34,9.6,1.22,7.75
 84-94,0,0,0,8,5.27,45.72,9.26,0,13.22,0,0,0,0,0.68,2.83,0.69,1.11,24.91,0,0,0.71,119.43,0,2.77,7.44,0,0,0,0,0,0,0,13,1.8,0.83,10.65,0,19.63
 96-106,0,0,0,13.72,0,43.61,2.35,0,36.92,2.8,0,1.49,4.11,1.4,0.77,1.15,0,21.07,2.38,0.66,3.95,144.4,0,3.38,1.73,0,0,11.09,0,0,0,0,5.48,0,1.92,11.79,4.81,14.63
108-118,0,0,0,25.55,0,47.48,7.89,0,23.41,4.51,0,1.44,0,1.71,5.47,0,0,28.46,3.33,2.07,3.64,182.22,0,1.02,0,0,3.18,4.42,0,0,0.46,0,7.02,1.64,0,26.98,0,5.92
120,0,0,0,10.27,0,57.29,4.89,0,46.32,3,0,1.85,6.94,0,0,0,0,5.26,1.13,0,0,258.24,0,0,0,0,0,0,0,0,0,0,22.34,6.74,0,65.53,8.03,20.93
