stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,periderm,spinal.cord,xanthophores
  3-4,24.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,35.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,5.18,0,0,0,0,0,0,0,0,0,0,0,8.73,0,14.3,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.2,0,0,0,0,0
 14-21,0,0.94,1.01,0.91,0,0,0,0,0,0,0,0,2.01,0,0,0,19.5,0.93,0,1.04,1.96,0
 24-34,0,0,0,0,0.78,0,0,0,0,0,0.73,0,1.03,0,0.89,0,56.77,6.69,0,12.33,8.45,0
 36-46,0,0,0,0.67,2.28,0,0,1.48,0,0,0,0,2.13,0,0,2.2,158.35,1.31,0,20.61,22.1,0
 48-58,0,0,0,0,12.47,1.1,0,4.65,0,0,0,0,0.55,0,0,0,152.25,0,0,16.86,16.94,0
 60-70,0,0,0,0,37.17,0,0.68,3.16,0,0,0,0,0,0,0,0,256.54,2.03,0,19.68,29.99,0
 72-82,0,0,0,0,68.65,0,0,10.61,0,0,0,0,1.42,0,0,0,282.23,0,0,7.24,24.97,0
 84-94,0,0,9.87,0,40.21,0,0.66,26.59,0,1.97,1.39,0,6.53,0.92,0,0,189.52,2.76,0,43.55,37.67,0.7
 96-106,0,0,3.63,0,69.25,0,3.79,25.14,1.19,1.08,0,9.08,2.56,0,0,0,251.34,2.98,0,26.76,10.29,1.41
108-118,0,0,1.94,0,66.84,0,1.69,7.56,0,2.99,0.63,0,2.31,0,0,0.88,172.65,1.81,0,37.34,7.49,8.46
120,0,0,8.57,0,51.8,0,0,25.34,0,0,0,0,1.52,0,0,0,230.41,1.77,0,30.76,0,4.74
