stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,taste,vasculature
  3-4,0,50.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.56,20.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.47,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.99,0,0,0,0
 14-21,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,1.25,0,0,0,0,0,6.56,0,0
 24-34,0,0,0,0,0,0,3.46,0,0,0,0,0,0,0,0,70.13,0,1.63,0,0,0,38.49,0,0
 36-46,0,0,0,0,0,0,0.85,0,2.08,0,0,0,0,0,0,275.72,0,2.64,0,0,0,62.55,0,0
 48-58,0,0,0,0,0,0,19.81,0,16.1,0,0,0,0,1.18,0,407.1,0,0,0,0,3.17,57.62,0,0
 60-70,0,0,0,8.93,0,0,120.03,1.46,21.28,0,0,0,0,1.9,0,987.41,0,0.72,0,0,0,92.53,0,0
 72-82,0,0,0,3.52,0,0,99.74,0,14.98,0,0,0,0.49,8,0,984.58,0,0,1.73,0,0,42.08,0,0
 84-94,0,0,0,1.87,0,0,116.34,0,10.64,0,0,0.82,0,6.45,1.49,673.71,0.76,0,0.86,0,0,48.6,0,0
 96-106,0,0,0.99,6.76,0,0,100.67,0,7.58,0,0.84,0,2.34,4.97,1.11,480.93,0.79,0,0.59,0,1.49,25.31,0,2.21
108-118,0,0,0,4.2,1.17,1.73,91.78,0,7.12,5.33,0,0,0,14.53,0,489.48,0,0,0,0,0,11.51,1.21,0
120,0,0,0,0,0,0,90.56,0,4.04,0,0,0,0,18.76,0,729.42,0,0,0,0,0,3.29,0,0
