stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,267.34,2228.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.12,0,0,0,0,0,0,0,0,0
  5-6,112.95,691.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.84,0,0,0,0,0,14.17,0,0,0,0,0,0,0,0,0
  7-9,3.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.13,0,0,0,25.78,0,0,3.47,0,0,0,0,0,0,0,0
 10-12,0,3.32,0,9.03,0,0,0,0,0,0,0,0,0,4.52,0,0,0,0,0,0,0,0,0,18.15,3.91,0,0,4.35,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0.83,1.23,0,1.09,0,0,0,0,0,1.35,0,0,0,0,0,0,1.34,0,0,12.15,3.66,0,0,0,0,0.88,0,1.04,0,9.76,0,0,0,0,0
 24-34,0,0,0,0,0.83,0,0,7.82,0,0,0,0,0,0,0,0,0,0,0,0.65,0.64,0.77,0.64,71.56,0,2.39,1.3,0,0,6.3,0,0,0,16.3,0,0,0.73,0,0
 36-46,0,0,1.35,0,0.82,0,0,0.61,0,1.17,0.65,2.89,0.67,0,0,0,9.13,0,0.61,0.6,4.93,1.49,0,76.44,0.57,4.54,0,0,0,11.99,0.81,0,0,10.64,0,0,0,0,0
 48-58,0,0,0,0,5.42,0,0,9.37,0,0,0,1.8,0,0,0,0,0,0,0.48,0,0.48,0,0.4,145.78,0,4.57,8.66,0,0,0.48,0,0,0,19.58,0,0,2.71,0,0
 60-70,0,0,0,0,0,0,0,28.13,0,0,0,10.75,5.03,0,0,4.42,0,0,0,0,7.2,0,0,162.83,0,7.03,5.92,0,0,1.41,0,0,0,20.13,0,0,0,0,0.79
 72-82,0,0,0,0,4.3,2.03,0,37.47,0,0,0,6.51,0,0,0,1.16,0,0,1.66,0,3.74,1.09,0.8,105.61,0,16.03,0,0,0,7.93,0,0,0,6.8,0,0.51,0,1.12,0
 84-94,0,0,0,0,1.46,0.78,0.6,35.23,0.79,0,0,1.2,1.96,0,2.63,0,0,0.57,0,1.19,2.14,0,0.79,101.12,0,3.02,1.86,0,0,21.74,0,0,0,0,0,0,1.32,0,0
 96-106,0,0,1.94,0,11.82,0,0.71,20.07,1.46,0,0,2.43,6.01,0,0,2.92,2.68,0,2.7,0.65,10.33,1.96,2.01,124.36,0,11.37,5.05,0,0,36.5,0,0,0.6,16.93,2.03,0,2.47,0,0
108-118,0,0,0,0,14.33,0,6.33,47.32,0,0,0,10.13,1.18,0,0,3.74,1.19,0,1.23,0.76,6.4,0,0,98.01,0,4.27,3.06,0,1.49,31.57,0,0,0,7.02,0.51,0,0.42,0,6.66
120,0,0,0,0,5.67,1.3,2.67,0,0,1.22,0,21.66,9.43,0,0,8.98,0,0,1.76,0,4.02,0,3.68,60.38,0,0,0,0,0,57.8,0,0,0,15.52,0,0,2.19,0,0
