stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.83,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0.82,12.47,0,0,0,0,0,0,0,392.91,0,0,0,0,0,0,0,1.62,0,0,0,0,0,0,1.09,0,0,0,0
 24-34,0,0.68,0,0,0,0,0,0.91,0,0,667.9,0,0,0,6.56,0,0,0.86,18.22,0,0,0,0,0,0,3.84,0,0,0,0
 36-46,0,0.7,1.99,0,1.71,0,0,1.07,0,0,925.22,3.64,0,0,6.87,0,0,2.87,45.7,1.21,0,0,0,0,0,4.96,0,0,0,0
 48-58,0,1.08,0,0,1.62,0.7,3.95,0,0,0,493.56,0,0,0,5.77,0,0,0,10.11,0,0,0,0,0,0,4.65,0,0,0,0
 60-70,0,0,0,0,12.58,0,1.18,1.34,0,0,1036.19,0,0,0,1.75,0,0,0,14.6,0,0,0,0,0,0,0,0,0,0,16.47
 72-82,0,2.06,0.59,0,16.74,0,0,0,0,0.89,624.05,0,0,0,1.78,0,0,0,18.75,0,0,0,0,4.01,0,0,0,0,0,0
 84-94,0,0,5.74,0,0,0,0,0,0.73,0,882.74,0,0,0,5.37,0,0.69,0.7,0,0,0,0,1.96,0,0,0,0,0,0,0
 96-106,2.6,1.39,2.13,0,24.27,0,0,5.16,1.53,0,1114.81,0,1.67,0.61,3.89,1.41,0,2,11.7,0,0,1.17,14.02,0,9.08,7.28,0,1.6,0.61,0
108-118,0,1.7,7.76,1.77,5.07,0,0,0.68,0.64,0,691.88,0,0,0,2.3,0,0,0,13.95,0,0.57,0,0.96,0,0,0,1.13,2.03,0,3.13
120,0,0,0,0,3.37,0,0,8.76,0,0,500.33,0,0,0,0,0,0,0,24.2,0,0,0,0,0,0,0,0,0,0,0
