stage,blastomeres,erythrocytes,eye,fin.mesenchyme,glial,gut,immune,mesenchyme,neural
  3-4,56.21,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,1.01
 60-70,0,0,0,0.76,0,0,1.1,0,1.08
 72-82,0,0,0,0,0,0,4.43,0,3.93
 84-94,0,0,0,0,0,0,0,0,5.74
 96-106,0,0,0.59,0,0,0,38.84,2.6,1.94
108-118,0,4.97,7.45,0,1.62,5.43,53.5,0,0
120,0,0,0,0,0,0,34.64,0,16.27
