stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,somites,spinal.cord,taste,vasculature
  5-6,37.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.93,0,0,3.86,0,5.74,0,0,0
 14-21,0,0,0,22.18,0,0,0,0,0,0,0,0,0,0,0,0,0,1.62,0,0,0,0,0,1.21,0,3.33
 24-34,0,0,0,39.29,1.27,0,3.43,0,0,0,0.74,0.79,0,0,2.55,1.05,0,6.25,0,0,0,0,0,0,0,0
 36-46,0,0,0,30.54,0,0,14.76,0,0,0,1.54,0.68,1.95,0,2.78,3.26,0,9.66,2.1,0,0,0,0,0,0,0
 48-58,0,0,0,11.94,0,0.62,11.39,0,0,0,2.05,0,0,0,0,0.64,0,9.46,0,3.88,0,0,0,2.12,0,0
 60-70,0,0,0,21.09,0,0,2.84,1.21,0,0,3.84,0,0,0,1.61,2.44,0,11.5,0,0,0,0,0,1.1,0,0
 72-82,0,1.09,0,10.88,0,0,12.2,0,0,1.27,3.03,0,0,0,0,2.32,0.53,9.69,0,0,0,0,0,0.62,0,1.92
 84-94,0,0,0,43.48,0,1.44,9.85,0,0,0,8.29,0,0,0,0,9.48,0,12.28,0,0,0,2.65,0,2.91,1.68,1.52
 96-106,0,0,0,56.33,0,5.77,22.51,1,0,2.51,5.89,0.95,0,0,0,0.72,0,5.24,0,0.85,0,0,0,0,0,0
108-118,0,0,0,33.32,0,1,18.16,1.45,0.43,0,6.46,1.74,0,0.43,0.63,5.04,0.52,7.2,0,0,0,0,0,1.43,0,0
120,0,0,0,38.9,0,0,10.91,0,0,0,18.67,0,0,0,0,5.23,0,1.17,15.11,0,0,0,0,0,0,0
