stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,30.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.08,0,0,0,0,0,0,0,0
 10-12,0,10.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.03,0,0,4.43,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,3.3,0,5.37,0,8.3,0,0,0.88,0,0,0,0
 24-34,0,0,1.37,0,0,0,0,0,0,0,0,0,0,1.27,0.76,0,12.49,0,0,0,143.69,0,0,0.91,0,0,1.08,0
 36-46,0,0,7.13,0,2.56,0,10.29,3.34,0,0,0.58,0,0,0,1.35,0,9.35,0.72,0,0,216.51,0,0,3.92,0,0,0,0
 48-58,0,0,0.54,0,12.72,0.81,0,1.83,4.1,5.83,0.52,0.65,0,0.91,2.92,0,19.24,0.47,0.62,0,159.86,0,0,0,0,0,0,0
 60-70,0,0,0,0,9.94,0,0.94,0.73,0,0,0,0,0,0.77,0,0,9.74,0,0,0,229.45,0,0,3.44,0,0.9,0,0
 72-82,0,0,3.33,0.65,1.41,0,0,3.96,0,0,0,0,0,0,2.75,4.39,19.06,0,2.03,0,58.44,0,0,0,0,0,0,0
 84-94,0,0,1.34,0.88,6.93,0,3.92,0.64,0,0,1.18,0,0,0,1.63,0,4.03,0,0,0,289.96,1.52,0,0,0,0,0,0
 96-106,0,0,11.34,1.21,4.47,0,0.63,3.2,0,2.43,2.97,0,0.61,4.36,1.8,0,17.2,0,0,0,226.82,0,4.28,0,0,0,0,0
108-118,0,0,7.79,0.52,3.8,0,4.27,0,0,3.32,1.47,0,0,1.17,1.92,0,12.02,1.82,0,0,131.98,0,0,0,1.7,0,0,1.05
120,0,0,2.27,0,30.39,0,4.32,2.01,0,3.51,1.32,1.15,0,0,1.05,0,7.76,0,0,0,88.58,0,0,0,0,0,0,0
