stage,epidermis,erythrocytes,eye,glial,gut,heart,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,presomitic_mesoderm,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,0.81,0,0,0,0,0,0,0,0.89,0,0,21.66,0,0,0,0,0.97,3.01,0,0,0,0
 24-34,0,0,1.68,0.75,0,0,0,0,0,0,0,50.36,1.97,0,0,0,0,12.47,0,0,6.91,0
 36-46,0,0,5.62,2.75,0,1.71,0,0,0.59,0,0.57,172.46,0,0,0,18.02,0,35.21,0,0,0,0
 48-58,0,0,27.77,8.62,0,0,10.46,0,3.96,0,8.83,150.31,1.5,0,0,0,0,27.68,0,0,0,0
 60-70,1.15,0,68.2,0,0,0,0,0,2.87,0,0,127.77,0,0,0.63,0,0,26.19,0,0,9.5,0
 72-82,0.71,0,90.63,2.72,0,0,0,0,9.52,0,0.57,136.18,0,0,0,0,0,21.42,0,0,2.81,0.51
 84-94,0.7,2.16,55.22,0,0,0,0,1.2,2.18,0,0,62.71,0,0,0,0,0,8.01,0.86,0,0,0
 96-106,0.85,0,36.21,0.85,0.97,0,0,0,6.74,0,0,65.13,0,0,0,0,0,0,0,2.46,0,0
108-118,0.71,0,26.79,0,0,0,0,0,13.46,0.51,0,42.34,0,0,4.92,0,0,0,0,0,1.14,0
120,0,0,47.88,0,0,2.09,0,0,12.15,0,0,135.49,15.9,1.66,0,0,0,5.23,0,0,0,0
