stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,18.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.61,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1009.53,0,0,14.17,0,0,0,0,0,0,0,0,0
 14-21,0,0,2008.85,0,0,1.67,6.3,0,0,0,0.86,0,8.84,0,0,0,6.4,4.14,0,32,0,0,0,0,0,0,2,0,0,0,0,0
 24-34,0,0,764.32,0,0,4.01,58.6,0,1.94,0,0,0,0.65,0,0,0,9.1,4.83,2.15,67.5,0.79,1.06,0,0,0.95,0,0,4.19,0,0,0.8,0
 36-46,0,0,422.89,0,0,0.68,90.41,1.09,1.48,0,0,0,0,0,0,0,4.97,3.02,0,46,8.99,0,0,0,2.99,0,0,2.53,0,0,2.3,0
 48-58,0,0,362.19,0,0,6.28,72.95,0,0,0,0,0,0.5,0,0,2.01,1.31,0.55,0,24.12,0.88,0,0,0,0,0,0,8,0,0,0,0
 60-70,0,0,329.06,0,0,10.36,97.65,0,1.99,0,0,0,0.62,1.2,0,0,1.12,5.24,0,11.7,1.33,0,0,0,0,0,0,1.84,0,0,0,0
 72-82,0,0,259.2,0,0,8.71,61.76,0,0,0,0,0,4.64,0,0,0,6.32,2.31,0,30.84,1.4,0,0,0,7.48,0,0,0,0.67,0,0,0
 84-94,0.62,0,372.63,0,0,15.98,71.55,0,1.42,1.95,0,0,1.28,0,0,0,0,5.06,0.75,18.27,1.83,0,0,2.02,0,0,0,0,8.92,0,1.22,0
 96-106,0,0,469.64,0,1.12,7.7,84.45,0,2.33,5.22,0,0,3.75,0,11.55,0,13.21,4.9,0,18.01,3.66,0.95,0,0,0,0,0,0,6.16,0,2.55,0
108-118,0,0,465.3,0,0,6.11,116.06,0,2.94,6.95,0,0.9,1.29,0,7.3,0,1.87,1.69,0,23.94,5.78,0,0,1.83,1.82,1.66,0,0,9.67,0.67,0,0.65
120,0,0,330.27,3.56,0,0,92.02,0,3.27,0,0,0,6.09,0,0,0,0,2.26,3.16,42.26,0,0,0,0,0,2.12,0,0,3.47,0,0,0
