stage,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,liver,mesenchyme,mucous,muscle,neural,notochord,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,14.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,5.36,0,0,0,0,0,0,0,0,0,0,10.77,0,3.72,55.33,0,0,0,0,0
 10-12,0,0,6.89,0,16.35,0,0,0,0,0,0,0,0,0,0,0,0,5.44,13.47,0,0,0,0,0
 14-21,0,0,0,0.89,0,0,0,4.08,0,0,0,0,0,0,0,0,0,0,0,8.25,1.3,0,0,0
 24-34,0,0,0.84,0,0.72,0,0,5.98,6.16,0,1.01,0,0,0,0,6.22,1.19,0,20.3,9.34,2.32,0,0,0
 36-46,0,0.95,1.08,0,0,0,0,3.63,0,0,1.06,0,0.68,1.5,0,0,0,0,38.16,7.92,6.64,0,0,0
 48-58,0,0,0,3.11,1.87,1.03,0,0.45,0,0.42,7.13,0.37,0,0,0,13.23,0,0,17.12,1.69,14.16,0,0.91,0
 60-70,0,0,0,1.47,23.58,1.81,0,0.8,0,0,38.82,1.78,4.89,3.37,0,7.26,0,0,57.99,5.3,21.25,0,0,0
 72-82,0,0.54,0.56,1.26,47.41,0,0,3.69,0,0,15.43,2.62,9.27,0,0,2.31,0,0,51.42,3.63,11.76,0,0.62,0
 84-94,0,0,2.64,2.54,56.38,2.19,0,5.16,0,1.46,28.02,1.39,6.3,0,0,6.94,0,0,105.77,2.41,3.47,2.46,0,0
 96-106,0,1.79,4.04,4.61,165.9,0,0.96,4.97,0,0.72,23.22,0.93,10.5,0.83,2.11,2.16,0,0,133.64,4.54,2.07,5.68,0,0.61
108-118,0,0,4.3,1.76,78.22,1.46,0.94,4.86,0,1.37,27.09,4.25,5.35,1.52,0,18.11,0,0,99.62,2.43,0,14.9,1.34,0
120,0,0,0,0,7.83,5.88,9.13,3.12,0,3.24,84.29,3.16,29.79,4.41,0,31.5,0,0,74.31,4.46,0,5.85,0,0
