stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,51.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,3.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.49,15.11,0,0,3.49,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,16.07,0,0,12.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.88,3.56,0,0,12.72,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.03,80.06,1.52,3.24,0,2.9,0,0,0,0,1.34,0,0,0,0,0,0,24.25,0,0,43.89,42.12,1.83,0,0,1.53,0,17.71,1.94,0.92,0.86,15.84,12.54,0,0,0,0,0
 24-34,0.83,0,0,59.33,0,1.87,0,17.92,0,1.4,0,0,0,0,3.64,0,0,5.2,0,30.02,0,0,10.28,116.23,0,0.69,5.26,0,0,10.87,0,0,0.88,2.98,24.79,0,0,7.94,0,0
 36-46,0,0,0,38.54,0,1.94,0,20.12,0,3.3,0,0.76,6.18,0,0,0.56,0,0,0,39.69,0,0.55,11.54,144.03,1.21,0.76,7.7,0,0,48.56,0,0,0,0,28.64,0,0,20.2,0,1.47
 48-58,0,0,0,25.02,0,12.97,0.67,3.85,1.95,6.05,0,0,6.46,0,0.4,0.39,0.89,0,0,55.53,1.96,0,15.74,133.51,0,0,2.43,0,0,21.08,0,0,1.17,0,37.45,0,0,8.9,0,2.27
 60-70,0,0,0,34.55,0,74.77,5.02,7.24,0,3.32,0,0.97,0,0,0,3.7,0,0,0,102.21,0,5.79,10.56,234.74,0,0,1.22,0,0.66,8.1,0,2.3,1.58,0,32.47,0,0,2.94,0.9,6.3
 72-82,0,0.56,0,13.88,0,140.49,0,4.68,2.32,13.7,0,2.21,0,0,0.75,0,3.57,0,0,118.28,0,3,15.64,345.35,0,0,7.35,0,2.75,2.7,0,0,0,0,15.66,0,2.88,10.44,0.76,0.89
 84-94,0,0,2.08,22.36,0,101.59,0.91,4.42,1.93,10.76,1.35,2.07,6,0,3.2,0,0,0,0,70.1,2.15,4.28,11.24,245.22,0,7.13,4.23,0,0.83,3.02,0,0,0,0,42.34,1.12,0,5.77,0.78,0
 96-106,0,1.41,0,26.32,7.78,93.65,0,7.01,1.01,15.44,10.87,0,1.98,1.32,0.68,0.73,5.58,0,0,70.19,7.08,4.77,7.07,379.34,0,2.57,5.19,0,3.93,13.67,0,0,0,0,12.41,3.18,2.62,15.39,5.78,0
108-118,0,0,0.52,46.76,2.97,163.92,0,4.69,5.46,17.7,5.75,0,1.81,0,4.59,3.33,0.49,0,0.83,97.36,0.51,13.17,9.8,323.29,0,2.21,7.68,0,4.54,7.71,0,0,0,0,17.69,3.5,0,6.35,2.86,0
120,0,0,0,28.12,3.49,149.98,0,4.18,0,43.65,7.09,0,0,0,0,0,2.98,5.29,0,86.81,0,13.78,12.25,583.01,0,0,30.08,0,0,4.81,0,0,0,0,41.56,1.53,0,26.78,0,0
