stage,epidermis,erythrocytes,eye,fin.mesenchyme,lateral.line,mesenchyme,neural,periderm,slow.muscle,spinal.cord
 14-21,2.12,0,0,0,0,0,0,0,0,0.96
 36-46,0,0,0,0,0,0,4.89,0,0,0
 48-58,0,0,0,0,0,0,0.69,0,0,0
 60-70,0,0,10.32,0,0,0,0,0,0,0
 72-82,0,0,46.25,0,0,0,2.89,0,0,1.97
 84-94,0,0,62.3,0,0.59,2.38,1.69,0,0,0
 96-106,0,4.43,81.4,0,0,0,0,0,0.6,0
108-118,0,0,82.76,0,0,0,1.71,0,0,0
120,2.25,0,85.23,3.65,0,0,17.45,1.8,0,0
