stage,blastomeres,endocrine.pancreas,epidermis,eye,mucous,neural,paraxial.mesoderm,periderm,taste
  5-6,7.89,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,3.47,0,0
 14-21,0,0,0,0,0,0,0,4.32,0
 24-34,0,1.26,0,1.61,0,1.89,0,13.5,0
 36-46,0,0,0,1.05,3.23,2.89,0,18.04,0
 48-58,0,0,0,0,0,0.94,0,12.56,0
 60-70,0,0,2.51,1.29,0,0,0,17.26,0
 84-94,0,0,1.31,0,0,0,0,21.46,0
 96-106,0,0,0,0,0,0,0,20.83,0.59
108-118,0,0,1.12,0,0,0,0,7.21,0.5
120,0,0,0,0,0,0,0,14.93,0
