stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,12.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.17,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,7.32,0,0,0,0,0,6.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.24,0.96,30.08,1.98,0,17.62,0,0,0,6.78,0,0,0,0.81,0,0,0,0,18.99,0,0,6.54,684.02,0,0,10.94,0.85,0,7.88,2.04,0,1.07,4.32,162.46,0,0,0,0,0.92
 24-34,0,0.97,4.44,8.39,0.67,0,27.37,0,1.61,0.84,16.47,0,2,0,6.2,0,14.63,0,0,35.92,7.69,2.43,22.98,1048.68,0.77,5.68,21.46,0,0,18.35,0,0,0,1.33,210.44,0,0,0,0,2.11
 36-46,0,0,0,3.17,0,0,25.38,0,0,0.67,25.67,0,0.69,0,7.65,1.91,5.71,0,0,70.47,0,0,16.73,669.58,0,3.23,8.52,0,0,33.38,0,0,0,0,203.51,0,0,0,0,7.24
 48-58,0,0,0,10.15,0,0,53.79,0,8.68,1.29,57.22,0,0.65,0,0,3.43,19.03,0,1.28,117.63,2.57,0.58,11.4,539.61,0,3.24,11.11,0,0.46,7.66,0,0,0,0,151.2,0,0,0,0,8.26
 60-70,0,0,0,8.47,0,0,40.7,0,10.68,1.75,34.97,0.63,0,0,10.83,0,15.28,0,0,142.11,0,1.38,12.34,371.49,0,0,10.14,0,1.08,10.94,0,0,0,0,70.18,0,0,0,0,13.19
 72-82,0,0,0,8.41,0,0,58.65,0,2.07,4.46,41.52,0,0,0,0,0.89,30.85,0,0,220.55,0,1.12,24.98,439.13,0,2.41,8.9,0,7.26,2.46,0,0.55,0,0,93.36,0,1.2,4.16,0.78,4.16
 84-94,0,0,0,5.77,0.87,0,41.83,0,1.81,8.08,37.66,0,6.5,2.56,0,4.98,15.22,1.49,0,225.97,0,0,15.49,322.3,0,0.76,30.13,0,0,10.41,0,0,0,0,50.94,3.4,0.68,0,0,15.71
 96-106,0,0,0,8.24,0,0.97,33.42,5.83,2.13,3.05,42.17,0.76,0,5.28,0,3.63,21.77,0,0,178.31,0,3.86,10.89,317.56,0,0,11.2,0,0,5.66,0,0,0,0,12.58,0,3.06,0,2.01,19.71
108-118,0,0,0,2.58,0,0,33.2,1.09,2.23,4.82,59.34,0.57,0.61,0.43,3.37,10.48,12.15,0,0,177.01,0,4.06,14.52,447.72,0,0.43,20.37,0,0,5.29,0,0,0,0,17.85,0,1.73,0,0.42,23.97
120,0,0,0,19.72,4.22,0,46.55,0,5.25,0,34.25,8.92,1.54,0,0,5.05,15.43,0,0,165.17,0,10.49,21.31,277.09,0,0,33.05,0,0,0,0,0,0,0,61.71,0,0,1.84,2.64,23.84
