stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,172.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.52,0,0,0,0,0,0,0,0
  5-6,9.18,86.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,9.54,0,0,0,0,0,10.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.88,6.18,0,0,19.52,0,0,0,0,0,0,0,0,0
 10-12,0,5.81,0,18.39,0,0,0,7.15,0,0,0,0,4.76,0,0,0,0,0,0,0,0,0,104.15,9.39,0,0,22.83,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,5.87,4.23,0,0.93,0,0,0,0,0,0,0,0,0,0,0,2.84,0,0.84,24.61,1.79,0.95,0,0.94,0,10.49,4.77,6.51,0,0,0,0,0
 24-34,0,0,0,0,0.73,0.96,0,5.44,0,0,0,0,0,0,0.61,0,0,0,12.17,4.41,0,0,55.56,0,0,0.79,0,1.41,0,2.21,13.67,0,0,6.84,0,0
 36-46,0,0,0,0,0,0,0,5.25,0,0,0,0,0,0,0,0,0,7.56,0,3.12,0,0.57,88.05,0,0,0,0,6.15,0,0,16.08,0,0,6.25,0,0
 48-58,0,0,0.42,0,0,0,0,28.04,0,0,1.98,0,0,1.62,0,0,0,0,0.56,4.05,1.25,0.47,70.11,0.63,1.2,0,0,1.18,0,0,20.12,0,0,0.71,0,0
 60-70,0,0,0,0,0,2.33,0,58.14,0.69,0.9,3.44,0,0,0,0,0,0,0,2.53,4.14,0,0.62,64.64,0,0,0,0,3.88,0,0,8.9,0,0,1.5,0,0
 72-82,0,0,0.69,0,0,11.76,0,25.2,1.08,0,3.08,0.66,0,1.79,0.7,0.83,0,0,0,13.44,0,0,51.4,0,0.97,0.95,0,0.82,0,0,3.18,0.8,0,0,0.92,0
 84-94,0,0,0,0,2.12,0,0,23.82,0,0,2.38,0,0,0,0,0,0,0,0.72,10.36,0,0.6,57.63,0,0,0,0,4.68,0,0,0,0,1.87,0,0,3.41
 96-106,0,0,0,0,4.02,0,1.76,7.54,0,0,9.72,0,0,0,0.86,0,0,0,0,0,0,0,32.22,1.05,2.3,0,0,3.18,0,0,0,0,0,0,0.8,0
108-118,0,0,0,0,8.88,1.46,0,24.08,0.46,0,9.6,0.42,0,3.1,0,0.64,0.63,3.73,0,7.92,0,0.58,52.79,0,0.46,0.95,0,3.02,0,0,7.14,0,0,0.63,0,0
120,0,0,0,0,3.21,0,0,7.94,0,0,17.83,0,0,0,0,0,0,0,0,5.22,0,2.53,58.75,0,0,0,0,0,0,0,4.57,0,0,0,0,0
