stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,gut,immune,ionocyte,liver,mesenchyme,muscle,neural,periderm,pgc,spinal.cord,taste
  5-6,0,17.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.06,6.21,0,0,0,0,0,0,0,0,0,0,17.1,0,0,0,0
 10-12,0,5.73,0,0,0,0,0,0,0,0,0,0,7.66,0,0,0,0
 14-21,0,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0,7.36,0
 24-34,0,0,0,0.9,0.6,0,0,0,0,0,0,0.84,1.1,0,0,5.42,0
 36-46,0,0,0.77,0,0,0,0,0,0,0,0,0,0.56,0,0,3.83,0
 48-58,0,0,0,0,0,0,0,0,0,0.78,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,5.4,1.46,0,9.36,0,1.65,0,21.68
 84-94,0,0,1.27,0,2.69,0,0,0,0,3.31,0,0,6.18,0.83,0,4.05,79.35
 96-106,0,0,1.62,0,3.69,0.82,0,0,0,0,1.23,0.64,2.39,0,0,0,336.01
108-118,0,0,1.06,0,0,0.67,0.81,0.47,3.16,0,6.88,0,1.79,0.97,0,0,378.94
120,0,0,0,0,0,7.03,0,0,0,0,6.62,0,5.49,0,0,0,156.66
