stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,162.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1123.9,0,0,0,0,0,0,0,0,0,0
  5-6,6.18,102.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2210.17,0,0,0,0,0,0,0,0,0,0
  7-9,12.98,4.85,0,0,0,0,0,8.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.72,6.86,0,0,19.7,600.08,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.39,0,0,0,0,0,11.65,0,0,0,0,0,0,0,0,0,0,0,193.77,20.76,0,0,63.8,257.11,0,5.19,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,17.71,0,0,0,0,0,0,0,0,1.93,0,0,49.56,0,4.74,0,0,1.17,12.69,0,0,29.54,0,0,16.92,0,1667.16,1.6,0,3.53,4.12,3.88,0,0,1.01,0,0
 24-34,0,0,1.1,0,16.42,0.66,0,11.69,0,4.64,0,3.94,0,0,0,0,65.34,0,68.7,5.19,0,9.15,25.7,0,4.31,124.39,3.73,47.65,20.1,0,2884.78,0,0,4.93,0,18.04,0,0,3.45,0,0.72
 36-46,0,0,0,0,11.71,0,0,10.75,3.78,24.83,0,1.58,0,0,3.32,0,34.1,0,63.56,0,0,6.79,40.47,0,1.52,158.84,0.88,37.14,23.63,0,3755.46,0,0,0.72,0,17.87,0,0,4.58,0,0
 48-58,0,0,0,0,13.85,0,0,38.23,0,23.95,1.96,8.17,0.44,0,1.49,1.54,35.66,0,41.25,0,0,13.5,22.92,0.43,3.65,166.12,1.21,20.57,26.29,0,2634.25,0,0,0,0,21.13,0,0,0,0,0.98
 60-70,0,0,0,1.19,24.13,0,0,20.03,0,16.36,0,2.36,0,1.71,0,0.69,17.68,8.99,65.99,0,0,1.81,10.69,3.54,1.1,82.61,0,29.12,20.21,0,1585.43,0,0,0,0,2.28,3.2,0,0,0,6.3
 72-82,0,0,0,2.27,47.95,0.55,0,32.63,0,10.6,0.52,5.52,1.89,0,0,0,49.51,3.29,115.98,0,0,5.53,16.59,0,0.63,48.31,0,43.44,46.87,0,873.7,0,0,0,0,7.08,11.5,0,4.37,0,2.8
 84-94,0,0,1.14,2.04,122.83,11.28,0,20.84,9.11,25.59,1.08,3.01,7.12,0,0,0,70.33,0,180.8,0,0,11.28,19.28,0,2.18,32.3,0,54.44,51.69,0,2666.77,0,0,0,0,26.66,51.32,0,2.81,4.73,0
 96-106,0,0,0,3.18,239.39,2.24,0.97,83.34,0,27.3,0,16.23,19,0,0,2.75,147.32,0.74,341.28,11.14,0,19.87,40.06,1.41,0,103,0.58,103.7,68.94,0,2404.54,0,0,0,0,1.89,94.86,2.43,1.81,3.38,11.07
108-118,0,0,9.79,13.46,261.92,2.63,0.92,25.98,0,41.33,6.58,7.33,22.89,0,0,0,135.72,0,292.45,4.16,0.5,32.76,37.21,1.33,2.48,104.71,0,75.68,67.06,0,2170.69,0,0,0,0,4.15,138.35,0,0,0.57,3.13
120,0,0,0,2.55,212.42,0,0,0,0,19.47,5.27,0,8.74,0,0,0,83.28,0,166.96,0,0,13.73,33.5,0,2.83,110.39,0,70.78,68.83,0,843.58,0,0,0,0,0,44.24,0,0,0,4.96
