stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,22.83,468.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6,0,0,0,0,0,0,0,0
  5-6,29.44,461.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.49,0,0,0,32.46,0,0,0,0,0,0,0,0,0,0
  7-9,9.43,0,0,20.9,0,0,0,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155.17,12.55,0,0,52.05,0,0,13.88,0,0,0,0,0,0,0
 10-12,0,22.54,0,218.41,0,0,0,37.29,0,0,0,0,0,0,0,0,0,0,0,3.73,0,0,0,0,560.29,7.59,0,0,30.91,0,0,12.74,196.32,0,5.09,0,0,0,0
 14-21,0,0,0,9.41,76.59,0,0,2.15,0,0,0,0,4.48,0,0,0,2.75,0,0.93,0,0,4.25,0.95,0,24.79,0,5.23,57.98,0,0,1.51,0,144.14,0.9,230.95,0,0,4.67,0
 24-34,0,0,0,17.49,59.95,0,0,2.11,0,1.11,0,5.51,6.05,0,0,0,31.92,0,22.07,4.13,0,2.33,72.7,0.61,209.92,1.34,12.42,95.47,0,0,2.93,0,131.51,0,171.1,0,0,8.34,0
 36-46,0,0,0,0.74,52.01,0,0,0.61,0,0,0,1.41,0.59,15.54,0.6,0,30.41,0,13.46,14.02,0,3.1,59.03,0.66,360.51,3.93,33.21,76,0,0,3.8,0,78.75,0,42.38,0,0,1.99,0
 48-58,0,0,0,4.21,31.88,0,0,11.71,0,3.94,0,4.3,10.99,16.29,0,0,97.66,0,11.46,1.87,0,39.35,63.6,0,281.69,5.59,25.92,80.43,0,0,4.91,0,49.66,0,29.83,0,0,0.44,0
 60-70,0,0,0,0,46.69,0,4.29,25.7,0.93,3.08,0,0.64,14.53,11.6,0,1.05,31.65,0,9.45,6.76,0,140.47,120.17,0,280.04,7.24,22.28,67.52,0,0,8.96,0,56.02,0,17.62,6.9,0,0,0
 72-82,0,0,0.87,0,18.99,4.31,14.44,33.49,0,3.72,0,5.93,46.15,3.76,5.22,0,13.44,0,28.24,4.1,0,149.98,114.61,0,187.26,0.5,41.57,116.76,0,0,6.73,4.96,32.14,0,8.65,19.64,0,0,0
 84-94,0,0,0,1.04,25.15,0.87,46.3,33.17,0,3.27,0.75,0,78.76,9.23,0,0,10.64,1.05,24.81,5.15,0,162.33,109.79,0,220.69,2.28,95.92,122.79,0,0,4.81,1.4,43.51,0,6.4,52.28,0,0,0
 96-106,0,0,0,0,21.95,19.44,41.73,71.71,0.86,4.18,0,12.08,82.29,0,0.92,0.72,7.45,0,29.14,14.16,2.25,88.75,130.35,0,94.96,0.59,112.26,152.38,0,1.44,16.91,2.06,27.66,0,9.72,83.78,0,2.91,0
108-118,0,0,0.84,1.06,24.17,1.03,92.19,71.25,0,0.9,0,10.76,118.13,0,0.48,1.27,10.07,0,22.41,12.25,0,55.21,75.71,0.57,140.83,0.86,72.37,146.77,0,0,19.24,0.42,38.3,0,5.84,73.24,1.25,0.43,0.59
120,0,0,0,1.28,27.94,0,41.99,90.44,0,1.01,0,5.85,159.95,0,12.98,0,52.15,5.05,50.67,13.55,0,45.53,27.11,0,140.81,9.23,79.03,119.7,0,0,8.89,0,32.76,0,0,44.92,0,0,0
