stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.61,136.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.55,0,0,0,0,0,0,0,0
  5-6,22.99,271.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.13,0,0,0,6.56,0,0,0,0,0,0,0,0,0,0
  7-9,16.38,0,10.71,0,0,5.56,0,0,0,0,0,5.01,0,0,0,0,0,0,0,0,0,92.07,17.46,0,0,75.41,0,3.63,0,0,0,0,0,0,0,0
 10-12,0,4.08,0,0,0,8.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.29,0,0,0,14.28,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.95,1.44,3.33,0,0,0,0,0,0,0,0,0,0,0,0,2.77,0,0.81,26.01,0.95,0,0,0,0,0,1.13,0,0,2.1,3.71,0,0,0
 24-34,0,0,0,0,0,2.86,0,0,0,0.88,0,0,0,0,0,0,0,0,3.83,0,1.46,47.38,0,0,0,0,0,0.63,0,0,0,0,4.49,3.47,0,2
 36-46,0,0,0,2.21,0.61,18.11,5.27,0,1.17,0,0,0,0,6.47,0.57,0,0,0,6.42,0,2.61,107.18,0.58,1.59,0,0,0,0,0,0,1.04,0,20.04,0,0,0
 48-58,0,0,0,0,0,24.47,0,0,0,10.9,0,0,0,0,0,0,0,0,7.11,0,1.01,63.49,0,0,0,0,0,0,0,0,0,0,12.49,0,0,0.48
 60-70,0,0,0,0,0,33.48,0,0,0.66,2.36,0,0,0,0,0,4.64,0,0,9.02,0,1.25,96.04,0,0,0,0,0,0,0,0,0,0,15.77,1.62,0,0
 72-82,0,0,0,0.9,1.27,14.02,0,0,0,6.81,0,0,0,0,0,4.26,0,0,12.14,0,2.59,48.5,0,0,0.55,0,0,0,0,0,0,0,3.36,3.86,0,0.99
 84-94,0,0,0,5.18,5.91,19.32,0,0,3.28,5.75,0,0,0,2.67,0,0.67,0,1.13,18.36,0,2.54,54.97,0,0,0,0,0,1.67,0,0,0,0,11.6,3.76,0,0
 96-106,0,0,0,0.59,10.42,19.72,0,0,0,6.11,0,0,0.92,5.29,0.81,0,0,0,18.96,1.06,1.34,39.62,0,0,0,0,2.01,0.9,0,0,0,0,0,3.07,0,2.56
108-118,0,0,0,5.83,2.48,12.62,0,0.49,0.44,3.51,0.84,0,0,5.6,1.46,4.56,0,0.82,41.18,0.92,0,69.34,0,0.72,2.83,0,0,2,0,0.45,0,0,0,3.81,0.55,2.73
120,0,0,0,0,1.38,3.14,0,0,0,2.83,0,0,2.27,0,1.77,0,3.71,0,1.56,0,0,62.24,0,0,0,0,0,0,0,0,0,0,19.88,6.52,21.24,0
