stage,endoderm,eye,glial,heart,immune,ionocyte,mesenchyme,muscle,neural,olfactory,spinal.cord,vascular.smooth.muscle,vasculature
  7-9,5.57,3.63,0,0,0,0,0,0,5.91,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,19.13,0,0,0,0
 14-21,0,0,0,0,0,0,1.76,1.62,1.04,0,0,0,0
 24-34,0,0,0,0,0,0,0.68,0,17.67,0,6.07,0,0
 36-46,0,0,0,0,0,0,0,3.99,13.92,1.78,5.35,0,0
 48-58,0,2.61,7.38,0,0,0,0,0,4.61,0,2.05,0,0.4
 60-70,0,0,0,0,0,0,0.8,0,10.61,0,0,0,0
 72-82,0,0.9,0,0.58,0,0,0,0,10.84,0,0,0,0
 84-94,0,0,0,0,0,5.41,1.21,0,0.7,0,0,0,0.66
 96-106,0,0,0,0,0,2.01,2.38,0,3.96,0,0,0,0
108-118,0,0,0,0,0,0,0,0,1.28,0,0,0.84,0
120,0,0,0,0,4.74,0,0,0,6.17,0,0,0,0
