stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,3.73,1.34,0,0,0,0,39.81,0,0,0,0,0,0,0,0,0,5.73,0,11.61,0,0,0.9,34.13,1.17,58.53,0,0,0
 24-34,0,0.66,0,0,1.64,0,0,49.86,0,0,0,0,0,5.98,0,0,6.82,35.24,6.16,95.73,0,1.27,0,34.62,1.87,59.77,0.6,0,0.93
 36-46,0,0,0.64,0,1.53,0,0,40.48,0,0.65,0,0,0,1.81,0,0,0.74,46.38,0,80.11,6.26,9.57,0,10.07,0,72.07,3.2,0,0
 48-58,0,0,3.59,0,3.89,0,0,45.23,0.54,0,0.58,0,2.06,4.47,0,0,0,24.92,0,38.43,6.9,0,0,0.98,0,71.14,0.47,0,0.94
 60-70,0,0,0,0,16.31,0,2.61,53.99,0,0,1.66,0,1.34,1.56,1.53,0,0,28.46,0,42.11,5.4,0,0,3.18,0,37.29,0,0,0
 72-82,0,0.66,0,3.31,5.56,0,0,50.55,0,0,0.52,0,0,3.65,0,0,0,15.43,0,72.7,1.17,0,0,0,0,23.99,3.17,0.71,0
 84-94,0,0,0,6.61,8.44,0,0.61,35.93,1.23,0,8.89,0,2.57,3.42,0,0,0,13.59,0,67.86,1.76,0,0,6.96,0,24.55,1.4,0,0
 96-106,0,0,0,3.82,2.86,0,0,28.78,0,1.33,2.18,0,8.74,4.35,0,0,0,13.75,0,98.47,4.62,0,0,0,0,5.22,3.93,0,0
108-118,2.01,0,0,9.97,9.97,0.43,0,20.52,0,0,4.37,1.4,3.13,5.92,0,1.3,0,21.71,0,68.67,6.74,0.66,0,0.42,0,13.75,1.77,0,0
120,0,0,0,1.26,21.06,0,0,60.45,0,0,6.82,0,1.77,0,0,0,0,32.86,0,82.79,1.05,1.68,0,12.68,0,16.46,0,0,0
