stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,30.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,154.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,7.38,0,0,10.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.65,4.97,0,0,38.39,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.26,0,0,0,0,0,5.06,0,0,0,0,0,0,0,0,0,0,0,87.33,4.54,0,0,4.84,0,0,0,3.8,0,0,0,0,0
 14-21,0,0,1.18,2.23,0,1.38,0,0,0,2.72,0,0,0,0,0.96,0,0,0,0,2.31,0,0,1.07,19.85,0,0,0,0,0,0,1.75,0.82,2.59,8.68,4.01,0,0
 24-34,0,0,0,0,0.81,1.8,0,0,0,1.52,0,0,1.17,0,0.68,0,0,0,0,1.98,0,0,0.82,26.98,1.39,0.69,0,0,0,0.71,0,0,0,4.72,11.97,0,0
 36-46,0,0,0,0,0.64,6.71,0,0,2.07,5.62,0,0,0,1.07,0,0,0,0,0,7.14,0,0,0.6,81.06,1.28,1.95,0,0,0,0.73,0,0,0,8.88,5.2,0,0.81
 48-58,0,0.68,0,0,0,6.22,0.73,0.51,0,2.65,0,0,0,0,0,0,0,0,0,1.09,0,0,0,18.78,0,0,2.05,0,0,6.33,0,0,0,10.05,6.59,0,0
 60-70,0,0,0,1.46,0,32.97,0,0,0,1.93,0,0,0,0,0,0.82,0.7,0,0,1.4,0,0,0,18.21,0,0,0,0,0,4.64,0,0,0,0,6.71,0,0
 72-82,0,0.61,0,0.97,3.26,7.46,0,0,0,2.33,0,0,0,0,0.52,0.57,0,0,0,9.1,0,0,0,15.43,0,0,0.54,0,0,0.79,0,0,0,8.71,9.29,0,0
 84-94,0,0,0,2.8,0,9.61,0,3.82,0,2.62,0.71,0,0,0,0,0,0,0,0,13.48,1.26,0,0.57,14.94,0,2.5,0.68,0,0.83,1.69,0,1.13,0,0,2.29,0,0
 96-106,0,0,0,0.67,0,6.3,0,0,0,4.29,0,0,0,0,0,0.58,0,2.09,0,4.47,0,0,1.52,20.33,0,1.7,0,0,0,2.05,0,0,0,0,8.93,0,0
108-118,0,0,0,4.7,6.56,9.13,0,1.36,1.27,2.61,0.63,0,0,2.21,3.24,1.3,0,3.99,1.57,11.33,0,5.23,0,19.5,0,0,0,0,0,5.56,0,0,0,8.14,4.29,0.73,0.51
120,0,0,0,0,0,31.9,0,0,0,6.71,4.37,0,0,0,0,0,0,0,0,3.27,0,0,0,40.74,0,0,0,0,0,0,0,0,0,0,0,0,0
