stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,11.28,13.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.07,0,0,0,4.49,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.52,0,0,2.18,0,0,0,0,0,0,0,0,0,0,0,0,19.07,0,0,12.29,0.9,0,0,0,0,0,0,0,11.28,2.8,0,0,0,0,0
 24-34,0,0,0,1.33,0,0,6.79,0.86,0,0,0.8,0,6.13,0,0,0,0,0,0,171.38,0,0,60.53,25.27,0,0,0,0,0,0,0,5.84,4.79,1.48,0,0,0,0
 36-46,0,0,0,4.92,0,0,11.92,0,0.77,14.34,0,0,6.5,0,0,0,0,0,0.85,546.29,0,5.26,131.72,59.8,0.67,0.6,0,0,0,0,0,0.64,0,8.11,0,0,0,0.78
 48-58,0,0,0,0,0,0,29.57,3.06,4.69,34.7,0.59,0,4.08,0.47,0,0,0,0,0,771.66,0,3.08,99.56,57.13,0,0,0,0,0.56,0,0.56,4.34,0,3.23,0,6.33,0.4,0.48
 60-70,0,0,0,6.22,0,0,21.22,6.68,0,88.87,0,0,4.32,0,0,0,1.72,1.2,0,1473.24,0,17.53,99.06,58.36,1.95,1.47,3.04,0,4.54,0,0,2.94,0,14.61,0,34.82,2.29,19.27
 72-82,0,0,0,6.73,0,0,34.05,4.2,0,64.93,4.21,1.1,17.87,0,0.84,3.11,0,0,0,1539.51,0.61,15.62,101.41,52.72,0,2.87,0,0,6.47,0,1.98,0,0,1.45,0,54.61,1.47,28.77
 84-94,0,0,0,4.45,4.31,0,70.25,6.78,1.88,48.73,9.11,0,4.5,0,0.58,0,0.73,0,0,1339.59,0,12.51,81.05,53.05,0,1.87,1.57,0,2.85,13.74,0,1.59,0,5.28,0,48.41,2.39,33.59
 96-106,0,0,2.08,3.29,7.63,0,54.34,2,10.6,42.44,3.08,0.68,12.62,0.56,0,4.06,6.77,0,0,1510.53,1.42,34.36,75.12,64.34,0.91,0,5.49,0,23.54,0,0,3.92,0,5.31,0,38.94,2.1,41.44
108-118,0,0,0,10.12,1.16,2.29,41.87,3.61,2.8,42.97,3.38,0,4.7,0.56,0,0,0.49,0,0,1335.05,0,47.31,54.25,75.43,0,0,5.27,0,42.91,4.19,0,0,0,5.09,1.87,40.82,1.62,37
120,0,0,0,0,0,2.68,46.23,5.96,0,20.6,7.61,1.45,8,0,0,0,0,1.82,0,1440.83,0,56.48,45.56,95.06,0,0,0,0,36.21,0,0,1.99,0,0,3.62,33.21,7.39,79.88
