stage,endocrine.pancreas,epidermis,eye,glial,gut,heart,immune,mesenchyme,muscle,neural,spinal.cord,vasculature,visceral.smooth.muscle
 14-21,0,1.99,0,0,1.01,0.81,0,0,0,6.05,0,0,0
 24-34,0,0,0,0,0,0,0.73,0,0.65,20.48,3.26,2.82,0
 36-46,0,0,1.43,0,0,0,0,0,0,22.22,0,2.7,0
 48-58,0,0,5.97,0.43,0,0,0,0.82,0,42.23,3.85,16.57,0
 60-70,0,0,10.5,0,0,0,0.63,0,0,17.96,0.84,2.88,0
 72-82,0,0,0,0,0,0,1.63,0,0.77,22.47,0.61,3.37,0
 84-94,2.89,0,5.75,0,0,0,3.61,0,0,12.1,0,2.16,0
 96-106,0,0,0,0,0,0,3.11,0,0,24.33,0,1.02,2.81
108-118,0,0,0,0.76,0.81,0,0.42,1.29,0,12.3,2.12,1.23,0
120,0,0,0,12.79,0,0,14.69,4.34,0,17.05,0,0,0
