stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,41.13,245.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,28.27,470.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.58,0,0,0,9.43,0,0,0,0,0,0,0
  7-9,0,19.7,24.45,0,0,37.65,0,0,0,0,0,0,0,0,0,0,0,0,0,392.02,10.07,0,0,155.5,0,0,0,0,0,0,0
 10-12,0,0,29.06,0,0,26.63,0,0,0,0,4.67,0,0,0,0,0,0,0,0,240.74,0,0,0,110.26,0,0,15.13,0,0,0,0
 14-21,0,0,0,4.6,1.19,6.91,0,0,1.54,0,0,0.81,0,0,0,0,0,0,1.99,68.11,0,0,0,0.99,1.99,0.86,0,1.75,25.24,2,0
 24-34,0,0,0,3.34,0,37.09,0,0,4.48,0,0,0,0,0.61,0,8.64,0,0,3.43,238.38,0,2.25,0,0,2.95,0,0,0,31.85,0,0
 36-46,0,0,0,3.02,0,22.76,0,0,3.29,0,0,4.57,0,0,0,3.67,0,0,1.34,157.37,0,2.45,0,0,0,0,0,0,17.44,0.58,0
 48-58,0,0,0,0,0,53.07,0,0,7.56,0,0,0,0,0,0,7.92,0,0,4.63,58.05,0,0,0,0,0,0,0,0,10.28,2.25,0.84
 60-70,0,0,0,5.37,4.64,33.89,1.33,1.67,0,0,0,1.45,0,0,0,18.5,1.43,0,0,64,0,0,0,0,0,0,0,0,1.81,0,0
 72-82,0,0,0,0,0,18.92,0.68,0,3.38,0.53,0,0,0,0,0,4.41,0,0,1.09,42.38,0,0.95,0.76,0,0,0,0,0,1.6,4.93,0
 84-94,0,0,0,2.38,0,9.56,0,0,2.93,0.66,0,0,0,0,0,3.66,0,1,0,36.53,0,0,0,0,0,0,0,0,0.95,0.67,0
 96-106,0,0,0,0.64,0,5.01,0,0,3.75,0,0,0,0.83,0,0,1.85,0,0,0,20.77,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,1.34,0.98,11.39,0,0,0.59,0,0,0,1.17,0,0,4.55,0,0,1,17.89,0,0,0,0,1.81,0,0,0,0,1.22,0
120,0,0,0,3,1.63,30.83,0,0,3.88,0,0,0,0,0,1.18,30.84,0,2.76,1.22,64.95,0,0,0,0,8.4,0,0,0,0,2.9,0
