stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,23.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,8.3,0,0,0,0,0,0,0,0,0,0,0,0,24.42,0,0,0,9.6,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.25,0,0,0,6.08,0,0,0,0,0,0,0,0,0,0,0,0,22.73,0,0,0,7.88,0,0,0,0,0,0,0
 14-21,0,0,0,0.86,0.93,5.07,0,2.21,0,0,0,0,0,0,0,0,0,1.15,22.48,1.03,0.92,0,0,0,0,0.87,0,0,0.93,219.49,0,0,0,0
 24-34,0,0,0,1.77,0,3.17,0,1.94,0,0,0,0,0,0,0,10.41,0,4.42,27.64,10.84,0,0,0,0,0,0,0,0,0,1005.48,0,0,0,0
 36-46,0,0,0,0.64,0,8.29,0,2.94,0,0,0,0,0,0,0,1.49,0,1.12,64.33,0,0,1.46,0,0,0,0,0,0.69,0,1100.99,0,0,0,10.02
 48-58,0,0,0,0,0,10.1,0.52,24.54,0,0,0,0,0,0,0,7.67,0.54,0,140.78,0,0,0,0,0,0,0,0,0,0,836.03,0,0,0,0
 60-70,0,0,0,0,0,78.02,0,23.06,0,0,0,0,0,2.11,0,3.27,5.29,0,259.48,0,0,0,0,0,3.68,0,0,0,0,1025.57,0,0,0,0
 72-82,0,2.69,0,2.87,1.45,374.2,0,14.87,0,0,0,0,0,0,0,11.52,0,1.4,525.53,0,0,0,0,3.03,0,0,0,0,0,678.48,0,2.23,0,2
 84-94,0,0,0,1.23,0,381.54,0,11.89,0,0,8.23,2.5,0,0,0,23.06,4.85,0,354.8,0,0,0,0,0,0,0,0.73,0,0,525.43,0.57,0,0.57,0
 96-106,0,0,0,9.1,0,725.86,0,26.16,0,0,0,0,3.76,4.97,3.42,12.48,0,3.05,368.1,0,0,1.55,0,0,0,0,0,0,0,270.84,0,4.96,0,0
108-118,0,0,0.89,2,0,772.11,1.09,42.26,0.43,0,0,0,0,0,0,7.33,4.79,0.98,543.23,0,1.42,0,0,0,0,0,0,0,0,366.74,0,0,0,0
120,0,0,0,3.24,0,693.62,0,1.81,0,0,0,0,0,0,0,9.21,0,2.38,934.97,5.5,2.2,6.39,0,0,0,0,0,0,0,834.35,0,0,0,0
