stage,epidermis,eye,glial,mesenchyme,neural,spinal.cord
 10-12,0,0,0,0,5.53,0
 24-34,0,0,0,0,3.47,0
 36-46,0,0,0,0,13.38,2.9
 48-58,0,2.28,0,0,19.76,5.59
 60-70,0,2.79,0,0,44.83,7.89
 72-82,0,1.97,1.53,0,74.45,12.34
 84-94,0,0,0,0,41.57,7.38
 96-106,1.89,0,2.31,2.79,38.89,0
108-118,0,6.31,0,0,65.02,2.32
120,0,0,0,0,117.48,9.81
