stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,18.39,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,22.37,29.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.7,0,0,0,0,0,0,5.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.1,4.06,0,0,11.77,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.97,0,0,0,0,0,0,0,0,0,0,53.04,0,0,0,53.21,0,0,0,4.95,0,0,0,0,0,0,0
 14-21,0,0,0,0,25.86,0,0,3.45,0,0,0,0,5.86,0,0,0.92,0,0,0,9.29,0,0,6.86,22.42,0,0.86,0.94,1.56,0,0.94,0.97,0.84,0.9,19.79,0,0,0,0,0
 24-34,0,0,0,0.59,8.53,0,0,4.83,0.68,0,1.31,1.81,0,0,0,1.52,0,0,0.62,5.74,0.63,0,3.16,28.02,0,2.14,0,0,0,8.41,0,4.79,0,12.63,0,0,3.32,0,6.87
 36-46,0,0,0,0.84,0,0,0,4.53,0,1.62,4.44,0,0,0,0,0,0.57,0,0,23.11,0.63,0.86,2.06,47.93,0,0.93,0.63,0,0,17.06,0,0,0,16.86,0,0,4.56,0,0
 48-58,0,0,0,0,9.72,0,0,10.81,0.4,0,3.59,0,0,0.42,0.44,0.38,0,0,0,11.59,0.5,0,0.51,14.03,0,1.47,0,0,0,10.96,0,0,0,5.87,0,0,1.03,0,4.75
 60-70,0,0,0,0,0.9,0,0,3.25,0,0,4.65,0,0,0,0,0,0,0,0,16.75,0,0,1.67,4.59,0,0,0,0,0,2.06,0,0,0,1.79,0,0,1.32,0,0
 72-82,0,0,0.58,0,0,0,0,1.83,2.95,0.5,18.93,2.8,0,0,0,1.19,0,1.49,0,40.65,0,0,5.04,15.4,0,2.68,0.5,0,0,1.98,0,4.76,0,0,0,2.24,5.19,0,0
 84-94,0,0,0.81,0,0.68,1.42,0,8.04,2.37,0,3.68,2.59,0,0,2.35,0,0,2.37,0,50.98,0,1.24,6.63,8.65,0,2.97,2.17,0,0,7.43,0,0,0,0.66,0.61,0,9.8,0,4.82
 96-106,0,0,0.63,0,3.49,4.65,0.77,4.19,0.63,0,10.6,7.91,0,0,1.16,1.78,0,2.12,0,29.31,0,0,0,13.54,0,5.9,7.27,0,0,6.02,0,3.08,0,3.66,0.78,1.78,5.52,0,2.76
108-118,0,0,1,0,17.82,0,0,10.73,3.7,0.56,18.64,5.99,0,1.44,0.91,1.75,1.38,13.75,0,30.92,0,0,1.47,19.68,0,0,6.31,0,0,2.68,0,2.67,0,4.34,1.15,0.64,9.55,1.57,5.03
120,0,0,0,0,24.42,0,0,7.11,1.27,0,15.99,2.55,0,3.06,5.29,3.03,0,8.02,0,43.61,0,0,1.5,16.26,0,0,0,0,4.48,10.74,0,1.21,0,9.74,0,0,15.9,0,0
