stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,73.42,4025.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1608.52,0,0,0,0,0,0,0,0,0,0
  5-6,132.73,4177.43,0,0,0,0,0,0,0,0,0,0,0,12.54,0,0,0,0,0,0,0,0,0,0,185.01,29.13,0,0,6.24,1045.07,0,0,0,0,0,0,0,0,0,0
  7-9,15.65,43.37,0,20.6,0,0,0,61.93,0,0,0,0,0,24.77,0,0,0,0,0,0,0,0,0,0,866.12,8.17,0,0,124.02,10.19,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.97,0,10.1,0,4.44,0,21.68,0,0,0,0,0,7.4,0,0,0,0,0,0,0,0,0,0,566.03,0,0,0,212.53,0,0,0,44.03,0,0,0,0,0,0,0
 14-21,0,0,3.28,5.62,24.29,20.3,0,0,0,0,0,164.66,0.97,0,0,0,0,0,0,0,17.62,0,0,2.81,173.83,1.82,2.51,61.81,18.79,2.93,4.6,26.46,250.97,2.77,55.89,549.63,0,1.01,0,0
 24-34,0,0,2.51,0,5.26,0,0,13.35,0,2.47,2.62,144.7,0,0,0,0,0,0,6.22,0,1.26,0,0,5.15,147.76,2.08,58.4,13.12,0,3.05,0,0,110.45,0,10.43,314.49,0,1.95,0,0
 36-46,0,0,1.4,0,18.5,2.92,0,36.94,0,0,1.59,97.15,0,0,0,0,0,0,2.44,0,6.88,0,0,4,119.21,0.57,73.75,3.87,0,0,0,0,38.33,0,0,196.9,0,0,0,0
 48-58,0,0,0,0,1.37,0,0,312.69,0,0.54,0.82,125.49,0,0,0,0,0,0,3.48,0,4.96,0,0.69,2.48,104.35,0,66.2,10.08,0,0,0,0,25.48,0,0,213.42,0,0,0,0.47
 60-70,0,0,1.85,0,1.4,0,0,681.3,0,0,0.9,113.85,0.62,0,0,0,0,0,8.23,0,14.1,0,1.48,0,71.7,0,58.29,19.69,0,1.8,0,0,58.62,0,0,118.22,0,0,0,0
 72-82,0,0,10.51,0,1.32,0.67,0,547.94,0,3.46,0,132.38,2.07,0,0,0,0,1.57,12.77,0,3.07,8.82,1.13,1.2,58.49,0,88.89,33.14,0,0,0,0,11.24,0,0,47.17,0,0.6,1.4,0
 84-94,0,0,22.34,4.06,3.86,0,0,458.31,0.56,9.46,1.99,113.6,4.69,0,0,0,0.79,0,17.97,0,11.14,0,0.65,0.87,40.76,0,105.77,32.25,0,0,1.4,0,25.92,0,0,79.36,1.17,0,0,0
 96-106,0,0,10.68,2.2,3.17,5.6,0,267.86,0,0,0,90.6,10.75,0,0,0,0.95,0,28.3,0,0.68,0,0,1.06,54.12,0,177.56,32.5,0,0.71,0,0,13.83,0,0,36,0,0,0.96,0
108-118,0,0,5.44,2.85,1.4,1.63,0,192.82,0,0,0.57,113.53,12.2,0,0,0.42,0,0,22.35,3.13,5.6,0,0,0,41.05,0.48,132.67,27.09,0,1.31,0,0,13.3,0,0,27.3,0.5,1.17,0.5,0
120,0,0,0,0,1.05,1.54,5.29,173.74,0,0,0,34.21,0,0,2.09,1.18,0,0,13.65,0,16.32,0,0,0,61.59,0,104.95,20.78,0,1.62,0,0,35.48,0,0,11.54,0,0,0,0
