stage,axial,blastomeres,endoderm,epidermis,glial,immune,neural,notochord,olfactory,paraxial_mesoderm,periderm,spinal_cord
  3-4,0,89.86,0,0,0,0,0,0,0,0,26.55,0
  5-6,13.05,149.98,0,0,0,0,0,6.07,0,17.34,0,0
  7-9,5.16,0,12.04,0,0,0,42.12,19.68,0,40.39,0,0
 10-12,0,0,0,0,0,0,16.02,0,0,12.75,0,0
 36-46,0,0,0,0,0,0,0.76,0,0,0,0,1.27
 48-58,0,0,0,0,0,0,0.98,0,0,0,0,0
 60-70,0,0,0,0,0,0,2.34,0,0,0,0,0.75
 72-82,0,0,0,0,0.57,0,0.59,0,0,0,0,0
 84-94,0,0,0,0,0,0,1.91,0,0,0,0,0
 96-106,0,0,0,0,0,0.62,0,0,0,0,1.18,0
108-118,0,0,0,0.45,0,0,0,0,1.86,0,0.41,0
120,0,0,0,0,0,3.53,0,0,0,0,0,0
