stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,heart,immune,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,84.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.04,0,6.16,0,0,0,0,0,0,0
  7-9,0,0,0,0,5.91,0,0,0,0,0,0,0,0,0,0,0,58.25,0,0,0,22.57,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,7.92,0,0,0,0,0,0,0,0,0,0,0,76.89,0,0,0,21.26,0,0,7.44,0,0,0,0,0,0
 14-21,0,0,0.86,0,0,0,0,0,0,0,0,0,0.84,0,0,0,12.03,0,0,0.8,0,0,0,0,3.11,0,0,0.86,0,0
 24-34,0,0,0,0,5.33,0,0,0,0,0,0,0,7.95,0,0,0.81,48.84,1.5,2.32,0,0,0,1.81,0,11.23,0,0,2.13,0,0
 36-46,0,0,0,0,20.92,0,0,0,0,0,0,0,4.52,0,0,0,59.2,0.65,2.74,0,0,0,0.56,0,3.63,0,0,0,0,1.16
 48-58,0,0.46,0,0.66,15.83,0,0,0.53,0,0,0,0,7.06,0,0,0,65.64,0,1.95,0,0,0,0.52,0,8.43,0,0,0,0,0
 60-70,0,0,0,0,37.98,3.51,0.63,0.97,0,0,0,0,11.4,0,0.66,2.67,52.52,0,0,0,0,0,0,0,10.7,0,0.59,0,0.61,0
 72-82,0,0,1.41,1.24,38.5,1.61,0.83,19.09,1.07,0,2.65,0,14.52,0,0,0,75.24,0,0.53,0,0,0,1.94,0,7.01,0,0,0,0.75,0
 84-94,0,0,0.6,0,6.67,0,0,6.45,0,0,0,0,4.07,0,0.71,0,17.91,0,1.91,0,0,0,0.83,0,8.16,0,0,0,0,0
 96-106,0,0,0.63,12.42,21.51,0,1.4,4.79,1.2,1.32,4.97,0.69,10.66,4.3,0.59,0,52.37,0,0,4.46,0,0,2.73,0,0,0.8,0,1.56,0,1.59
108-118,0,0,0.46,1.28,7.19,0,0,4.68,0,0,0,0,0.71,0,0,1.04,21.75,0,0,1.15,0,1.59,0.44,0,0,0,0,0,1.65,0
120,0,0,0,0,5.85,0,0,0,2.95,0,0,0,0,0,0,0,33.68,0,0,0,0,0,0,0,0,0,0,0,0,0
