stage,blastomeres,endoderm,epidermis,eye,fin_epithelia,glial,mesenchyme,muscle,neural,notochord,otic,periderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,14.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.54,0,0,0,0,0,0,25.9,0,0,0,0,0,0,0,0,0
 10-12,0,5.78,0,4.32,0,0,0,0,22.9,0,0,6.59,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1.02,3.79,0,0,0,1.65,1.41,0,0,0,0
 24-34,0,0,2.16,0,0.61,0,1.31,0,4.44,0.64,0.72,1.94,0,2.94,0,0.67,0,0
 36-46,0,0,0.79,0,0,0,5.83,0.87,3.62,0.58,0,1.82,0,1.98,0,0,0,0
 48-58,0,0,0,0,0,0,0.43,0,3.5,4.41,0,0.38,0,0,0,0,0,0
 60-70,0,0,0,4.27,0,0,5.78,0,0,0,0,0,0,2.14,0,0,0,0
 72-82,0,0,0,0,0,11.32,5.23,0.57,16.29,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,9.47,4.13,0,14.97,0,0,0,0,3.72,0,0,0,0
 96-106,0,0,0,0,0,10.39,3.49,0,3.61,0,0,1.68,0,0,0,0,0,0
108-118,0,0,0,0,0,15.15,5.65,0,1.34,1.02,0,0.47,0,0,1.06,0,1.48,1.16
120,0,0,0,0,0,3.32,0,0,0,2.8,0,0,0,0,2.15,0,0,0
