stage,axial,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,glial,gut,heart,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,0.85,0,0,0,2.75,0,0,0,0,0,0,0,1.51,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,5.14,0,0,1.63,0,0,1.72
 36-46,0,0,0,0,0.75,0,1.04,0,0,0,0,0,6.08,1.29,0,0,18.83,0,0,0.83,0,0,11.29
 48-58,0,0,0,0,19.45,0,10.91,0,0,0,0,0,0,0,0,0,16.2,0,0,3.47,0,0,7.05
 60-70,0,0,1.05,0,39.16,0,0,0,2.9,0,0,0,2.31,0.9,0.6,0,41.02,0,0,4.94,0,0,6.7
 72-82,0,0.62,0.96,0,52.72,0,4.86,0.69,0,0,0.56,0,0,8.82,0,0,42.85,0,0.88,6.44,0.61,5.63,0
 84-94,0,0,0,0,36.34,2.3,7.81,0,0.8,0,0,1.16,0,1.97,0.96,1.46,16.18,0,0,12.89,0.69,6.14,4.95
 96-106,0,0,2.16,0,7.33,0,3.63,0,0,1.36,0,0.62,0,1.23,0,1.65,58.04,0,0,4.93,0,10.13,10.7
108-118,0,0,2.12,0.96,19.22,0.54,5.85,0,0,0,0,0.42,0,10.19,0,0,63.36,0,0,3.34,1.18,5.53,0.75
120,1.12,0,0,0,15.82,0,0,4.45,0,1.01,0,3.92,0,11.11,0,0,95.37,1.29,0,15.03,1.56,8.03,0
